d       s       a       m_i     
78      9       138     1 3 3 11 15 35 75 99 331 
79      9       143     1 3 1 1 9 27 103 93 187 
80      9       145     1 1 3 11 19 43 123 169 325 
81      9       152     1 1 7 9 17 59 65 139 89 
82      9       157     1 1 5 15 19 57 29 151 131 
83      9       167     1 1 1 1 23 49 75 85 365 
84      9       173     1 1 5 13 11 45 31 245 311 
85      9       176     1 3 7 5 5 13 23 1 461 
86      9       181     1 3 1 11 17 23 19 43 393 
87      9       182     1 1 3 5 27 9 37 105 491 
88      9       185     1 3 3 1 15 51 107 231 39 
89      9       191     1 1 1 5 21 57 59 143 47 
90      9       194     1 1 7 7 23 45 29 33 403 
91      9       199     1 3 7 5 31 7 91 5 355 
92      9       218     1 3 5 1 25 7 15 191 45 
93      9       220     1 1 7 5 9 33 63 75 45 
94      9       227     1 3 5 7 27 39 83 121 495 
95      9       229     1 1 7 5 1 25 71 31 33 
96      9       230     1 1 7 13 13 63 85 203 491 
97      9       234     1 3 3 11 21 39 25 213 423 
98      9       236     1 3 5 11 3 7 115 3 191 
99      9       241     1 1 1 9 19 1 51 247 301 
100     9       244     1 1 1 7 13 15 45 243 453 
101     9       253     1 1 1 7 25 1 113 153 105 
102     10      4       1 3 5 11 19 15 3 245 443 651 
103     10      13      1 3 7 15 13 35 5 167 233 9 
104     10      19      1 3 5 11 21 63 95 45 411 189 
105     10      22      1 1 7 7 31 11 81 87 15 677 
106     10      50      1 3 3 9 13 21 27 215 459 923 
107     10      55      1 1 1 9 13 49 23 7 441 31 
108     10      64      1 3 1 7 27 19 5 71 391 159 
109     10      69      1 3 7 9 9 55 77 95 353 519 
110     10      98      1 3 1 1 23 51 51 113 33 725 
111     10      107     1 3 3 1 21 3 107 223 261 913 
112     10      115     1 1 1 7 9 31 83 219 285 695 
113     10      121     1 1 3 15 1 1 23 49 39 485 
114     10      127     1 1 1 9 5 61 71 121 427 83 
115     10      134     1 1 3 3 5 45 111 227 261 957 
116     10      140     1 3 7 7 17 51 61 85 183 831 
117     10      145     1 3 3 5 13 35 27 135 189 743 
118     10      152     1 3 1 5 7 5 7 149 333 287 
119     10      158     1 3 1 13 19 57 127 201 365 359 
120     10      161     1 1 5 9 27 23 79 173 227 299 
121     10      171     1 1 7 7 9 35 123 1 289 43 
122     10      181     1 1 5 15 15 17 57 175 97 585 
123     10      194     1 1 3 13 9 23 123 45 463 137 
124     10      199     1 3 1 9 19 3 81 35 221 75 
125     10      203     1 3 7 13 31 41 53 207 253 957 
126     10      208     1 1 1 5 1 35 51 67 289 417 
127     10      227     1 1 1 11 27 21 121 235 49 3 
128     10      242     1 3 7 5 15 59 25 43 141 965 
129     10      251     1 1 5 3 7 23 121 161 223 245 
130     10      253     1 3 7 15 5 5 49 235 329 777 
131     10      265     1 3 1 11 7 49 41 187 221 639 
132     10      266     1 1 5 9 1 11 41 39 319 203 
133     10      274     1 3 3 3 21 61 23 233 397 251 
134     10      283     1 1 1 1 27 49 87 251 371 973 
135     10      289     1 1 5 11 11 43 57 59 153 695 
136     10      295     1 1 3 7 29 57 87 17 129 511 
137     10      301     1 3 7 7 5 39 71 27 59 49 
138     10      316     1 3 3 5 1 49 65 87 453 515 
139     10      319     1 3 3 9 19 3 3 167 85 653 
140     10      324     1 1 7 15 7 51 67 37 245 943 
141     10      346     1 1 5 7 1 7 21 5 135 999 
142     10      352     1 3 3 5 19 1 7 179 405 589 
143     10      361     1 1 3 15 3 3 43 79 501 287 
144     10      367     1 1 3 9 21 39 59 181 99 737 
145     10      382     1 3 7 1 3 11 91 33 273 651 
146     10      395     1 1 5 11 23 47 97 253 465 741 
147     10      398     1 1 5 1 7 45 33 203 297 193 
148     10      400     1 1 5 3 31 55 63 41 243 953 
149     10      412     1 3 5 9 9 53 51 71 281 447 
150     10      419     1 3 3 9 5 63 77 89 213 527 
151     10      422     1 1 3 11 31 15 3 91 321 997 
152     10      426     1 3 5 7 31 27 117 179 389 645 
153     10      428     1 3 3 9 21 37 41 49 143 401 
154     10      433     1 3 1 3 31 57 77 129 49 245 
155     10      446     1 3 1 15 27 7 23 69 177 1009 
156     10      454     1 3 3 3 11 9 101 141 313 739 
157     10      457     1 1 3 13 27 31 27 129 139 645 
158     10      472     1 3 7 5 7 11 99 145 313 641 
159     10      493     1 3 1 13 15 3 55 183 153 743 
160     10      505     1 3 5 1 23 63 53 237 267 333 
161     10      508     1 3 1 9 5 27 45 49 9 911 
162     11      2       1 1 3 9 11 51 97 231 295 877 353 
163     11      11      1 3 7 3 15 55 125 241 149 417 449 
164     11      21      1 1 7 1 7 31 89 91 259 819 849 
165     11      22      1 3 1 11 3 9 79 77 195 39 937 
166     11      35      1 1 3 15 27 37 123 233 221 661 323 
167     11      49      1 3 7 7 31 59 121 71 19 723 1713 
168     11      50      1 1 5 5 23 43 75 201 7 565 293 
169     11      56      1 1 1 3 13 39 115 209 239 439 1623 
170     11      61      1 3 7 5 29 39 69 241 71 465 77 
171     11      70      1 1 1 13 17 1 91 67 491 969 1709 
172     11      74      1 3 1 3 7 37 17 185 365 571 757 
173     11      79      1 1 5 1 29 47 87 65 171 893 1659 
174     11      84      1 3 5 5 13 5 21 151 91 801 1415 
175     11      88      1 3 3 13 27 35 81 49 417 315 1039 
176     11      103     1 3 3 7 13 11 63 19 35 659 83 
177     11      104     1 1 1 15 11 55 43 181 45 657 681 
178     11      112     1 3 7 1 23 9 73 55 143 731 401 
179     11      115     1 1 3 1 5 49 125 1 113 41 1733 
180     11      117     1 1 3 5 21 63 45 119 67 499 141 
181     11      122     1 3 5 11 29 39 45 93 415 515 413 
182     11      134     1 1 7 15 5 3 79 201 5 473 55 
183     11      137     1 1 3 7 25 31 55 61 175 919 2047 
184     11      146     1 1 7 3 31 61 15 147 409 249 1677 
185     11      148     1 3 3 9 11 37 9 65 383 689 111 
186     11      157     1 1 5 1 31 23 93 15 327 973 765 
187     11      158     1 3 7 15 25 17 115 245 205 169 13 
188     11      162     1 1 5 15 15 27 109 39 289 135 693 
189     11      164     1 1 7 3 23 1 119 199 1 661 1741 
190     11      168     1 3 5 13 7 29 3 55 369 903 715 
191     11      173     1 1 5 1 29 19 31 7 165 1019 467 
192     11      185     1 1 7 11 27 33 105 27 271 55 475 
193     11      186     1 1 5 1 27 9 63 157 507 491 1525 
194     11      191     1 3 3 9 1 41 71 239 471 147 505 
195     11      193     1 3 3 1 25 11 1 35 127 583 2043 
196     11      199     1 3 7 15 1 13 119 183 89 555 1739 
197     11      213     1 1 1 3 3 45 61 163 357 679 641 
198     11      214     1 3 5 13 23 27 57 125 393 917 939 
199     11      220     1 1 3 9 9 21 85 105 111 537 733 
200     11      227     1 1 3 15 9 61 43 103 65 227 315 
201     11      236     1 1 7 9 9 7 31 219 293 441 559 
202     11      242     1 1 3 1 23 21 25 229 303 537 1655 
203     11      251     1 3 7 7 31 5 21 177 435 899 1939 
204     11      256     1 3 3 3 11 43 77 131 353 11 157 
205     11      259     1 3 3 3 5 45 13 39 459 261 237 
206     11      265     1 3 5 7 23 1 55 63 9 755 589 
207     11      266     1 1 7 5 3 11 59 167 145 459 617 
208     11      276     1 3 1 13 31 49 53 235 1 37 1373 
209     11      292     1 1 7 11 27 63 21 59 183 297 15 
210     11      304     1 3 7 15 3 61 57 205 359 799 1591 
211     11      310     1 1 1 3 29 29 121 193 405 161 909 
212     11      316     1 1 5 5 15 43 19 87 337 595 551 
213     11      319     1 3 3 7 27 23 109 127 107 793 787 
214     11      322     1 1 3 5 9 11 63 21 363 403 981 
215     11      328     1 1 3 5 1 39 43 71 5 151 1535 
216     11      334     1 1 7 3 1 33 65 249 81 889 1591 
217     11      339     1 3 5 11 15 53 117 47 13 215 1953 
218     11      341     1 1 3 13 15 13 49 209 137 403 1373 
219     11      345     1 1 3 15 25 13 123 193 275 235 1975 
220     11      346     1 3 1 3 21 55 109 115 411 413 2023 
221     11      362     1 3 3 1 5 7 53 161 221 529 489 
222     11      367     1 1 3 5 25 27 103 31 7 103 343 
223     11      372     1 1 7 11 19 47 45 201 499 255 1501 
224     11      375     1 3 1 1 5 7 79 113 445 515 287 
225     11      376     1 1 7 11 7 35 87 145 115 773 1415 
226     11      381     1 1 1 13 15 25 83 143 347 473 415 
227     11      385     1 3 1 11 23 45 79 245 81 835 589 
228     11      388     1 1 1 13 25 49 17 15 255 421 1195 
229     11      392     1 1 3 1 13 31 103 189 43 389 1497 
230     11      409     1 3 5 7 3 63 21 151 339 525 455 
231     11      415     1 3 3 13 23 29 101 25 461 631 2017 
232     11      416     1 1 5 13 7 57 11 181 215 911 463 
233     11      421     1 3 7 1 1 45 41 101 263 835 1985 
234     11      428     1 3 3 3 25 13 127 245 137 709 993 
235     11      431     1 3 7 3 5 19 23 55 51 367 1513 
236     11      434     1 1 5 3 13 39 101 119 119 835 875 
237     11      439     1 1 7 13 17 27 103 31 223 461 1267 
238     11      446     1 3 5 13 29 29 29 189 13 647 1931 
239     11      451     1 3 5 15 9 27 127 43 341 939 1981 
240     11      453     1 1 7 11 27 27 25 163 83 709 141 
241     11      457     1 3 7 15 31 45 119 141 181 231 411 
242     11      458     1 1 5 9 31 25 113 243 435 55 765 
243     11      471     1 1 7 9 27 5 63 23 133 767 1963 
244     11      475     1 3 7 9 9 55 97 159 371 1013 2013 
245     11      478     1 1 3 7 3 17 13 215 15 281 291 
246     11      484     1 3 5 9 29 7 71 9 181 763 1111 
247     11      493     1 3 7 13 23 55 79 99 165 447 1947 
248     11      494     1 3 7 7 29 59 25 41 313 665 1245 
249     11      499     1 1 3 3 5 29 71 71 475 781 567 
250     11      502     1 1 1 3 19 53 61 215 475 885 459 
251     11      517     1 3 3 13 5 31 95 137 119 249 975 
252     11      518     1 1 1 15 21 51 71 21 193 709 1167 
253     11      524     1 3 7 9 29 61 45 153 351 867 995 
254     11      527     1 1 1 15 7 37 65 51 45 497 1825 
255     11      555     1 3 3 1 23 59 11 127 501 351 1525 
256     11      560     1 1 3 15 31 29 47 105 179 159 991 
257     11      565     1 3 3 15 27 23 93 163 169 1003 1369 
258     11      569     1 3 1 5 31 51 85 221 87 941 317 
259     11      578     1 3 7 15 21 19 71 205 385 371 1401 
260     11      580     1 1 5 11 1 51 31 185 407 233 1171 
261     11      587     1 3 3 9 19 11 93 253 373 679 69 
262     11      589     1 1 7 15 23 45 87 61 113 541 1701 
263     11      590     1 1 5 7 7 61 55 167 345 633 1699 
264     11      601     1 3 7 7 1 23 121 33 507 361 1945 
265     11      607     1 3 7 1 19 47 43 101 67 57 1685 
266     11      611     1 3 3 3 25 63 53 149 483 551 1519 
267     11      614     1 3 1 3 27 1 41 213 57 897 121 
268     11      617     1 3 1 5 19 13 49 81 239 455 957 
269     11      618     1 1 3 7 15 23 89 171 319 117 2041 
270     11      625     1 1 3 13 3 13 41 15 145 659 973 
271     11      628     1 3 7 1 15 17 69 53 245 179 159 
272     11      635     1 3 3 5 5 3 113 183 219 469 1169 
273     11      641     1 1 5 15 13 45 89 87 371 267 1643 
274     11      647     1 3 5 5 1 25 3 247 309 401 2027 
275     11      654     1 3 1 11 13 7 79 17 297 679 1699 
276     11      659     1 3 1 5 13 19 123 255 343 393 1635 
277     11      662     1 3 3 15 13 13 37 229 483 283 1423 
278     11      672     1 3 1 1 7 37 65 67 77 247 1539 
279     11      675     1 1 3 5 25 39 37 19 231 835 797 
280     11      682     1 1 1 11 27 53 1 217 211 7 801 
281     11      684     1 3 7 1 15 55 69 77 491 61 55 
282     11      689     1 1 1 1 29 21 47 167 281 105 1363 
283     11      695     1 3 1 15 15 55 57 207 479 709 867 
284     11      696     1 1 1 9 7 13 115 237 47 127 1849 
285     11      713     1 1 7 9 7 35 83 63 155 441 1105 
286     11      719     1 3 3 9 17 39 19 231 491 593 1997 
287     11      724     1 3 3 13 17 19 65 21 389 391 483 
288     11      733     1 1 5 7 17 7 97 173 413 917 1691 
289     11      734     1 1 3 3 29 49 3 127 337 713 1057 
290     11      740     1 3 7 5 31 23 31 119 161 51 537 
291     11      747     1 1 5 1 29 25 15 187 143 927 715 
292     11      749     1 1 7 11 15 47 55 103 109 465 1439 
293     11      752     1 1 3 13 31 47 115 177 355 163 833 
294     11      755     1 3 5 5 31 13 15 163 57 937 1553 
295     11      762     1 3 5 15 7 29 47 139 231 507 595 
296     11      770     1 3 1 15 31 13 49 253 29 109 727 
297     11      782     1 1 5 15 21 1 107 89 367 825 1297 
298     11      784     1 3 3 9 31 21 31 247 375 767 1761 
299     11      787     1 1 7 3 31 33 119 119 409 955 1411 
300     11      789     1 1 7 1 17 57 101 37 147 367 265 
301     11      793     1 3 3 3 25 53 91 43 351 1021 1243 
302     11      796     1 3 3 5 11 47 107 209 251 765 1089 
303     11      803     1 1 7 5 9 13 23 153 367 585 315 
304     11      805     1 3 3 15 23 57 83 173 413 555 159 
305     11      810     1 3 7 15 7 59 31 233 67 767 75 
306     11      815     1 3 5 3 17 1 35 37 445 847 1853 
307     11      824     1 3 5 13 3 1 75 113 83 467 1057 
308     11      829     1 1 7 1 7 15 125 31 341 133 285 
309     11      830     1 1 5 5 15 11 97 3 59 777 1125 
310     11      832     1 3 7 9 17 55 117 255 429 239 1071 
311     11      841     1 1 7 3 27 37 31 221 385 877 1767 
312     11      847     1 1 5 1 5 31 43 23 77 497 1605 
313     11      849     1 3 5 15 15 37 103 227 33 185 481 
314     11      861     1 3 3 11 29 61 67 53 257 609 1581 
315     11      871     1 1 3 15 31 25 123 59 395 107 587 
316     11      878     1 3 1 7 29 19 51 135 503 71 33 
317     11      889     1 3 1 15 21 31 23 85 17 227 657 
318     11      892     1 1 1 3 9 63 61 205 61 699 599 
319     11      901     1 3 1 15 1 39 45 133 1 391 255 
320     11      908     1 3 5 13 17 13 107 245 55 619 1085 
321     11      920     1 3 3 9 5 25 5 49 509 661 1225 
322     11      923     1 3 7 9 29 61 13 247 341 257 1551 
323     11      942     1 3 7 9 5 39 123 221 391 501 527 
324     11      949     1 3 1 7 21 23 65 233 181 405 1297 
325     11      950     1 1 1 3 23 23 15 253 37 679 1455 
326     11      954     1 3 3 3 3 31 89 105 11 1015 1837 
327     11      961     1 3 1 7 15 59 105 179 477 923 1189 
328     11      968     1 3 5 9 1 9 21 71 145 409 1235 
329     11      971     1 1 7 13 9 43 85 241 497 683 1169 
330     11      973     1 3 3 13 29 41 23 51 1 563 905 
331     11      979     1 3 5 9 25 51 1 71 25 195 363 
332     11      982     1 3 7 7 31 49 13 255 471 653 1127 
333     11      986     1 3 3 7 7 61 63 21 413 817 1369 
334     11      998     1 3 5 1 7 53 43 167 173 261 633 
335     11      1001    1 1 1 13 21 59 49 135 351 187 447 
336     11      1010    1 1 3 7 5 35 103 5 247 555 1439 
337     11      1012    1 1 3 1 3 11 5 153 507 21 1331 
338     12      41      1 3 7 15 25 11 29 51 353 447 337 3621 
339     12      52      1 3 5 13 31 51 103 69 311 645 1373 1155 
340     12      61      1 1 7 7 1 55 101 203 503 711 131 937 
341     12      62      1 3 3 11 7 5 75 63 217 643 871 3511 
342     12      76      1 1 3 15 21 23 75 3 113 203 13 2727 
343     12      104     1 3 5 11 7 1 27 39 411 195 607 1705 
344     12      117     1 1 7 11 23 21 11 113 437 947 1897 1249 
345     12      131     1 1 7 5 23 45 41 169 33 981 1331 2013 
346     12      143     1 3 1 7 11 5 11 121 239 269 1759 829 
347     12      145     1 1 1 9 31 51 77 61 19 121 969 3627 
348     12      157     1 3 1 13 23 45 39 183 21 787 967 1911 
349     12      167     1 1 1 15 21 19 91 231 325 531 473 2543 
350     12      171     1 3 5 3 7 25 91 193 387 181 493 1225 
351     12      176     1 1 7 7 23 21 55 221 283 995 793 485 
352     12      181     1 1 1 15 29 61 1 33 59 725 1053 55 
353     12      194     1 3 3 5 15 43 85 87 425 39 1559 1403 
354     12      217     1 1 5 9 3 7 65 3 177 491 121 2755 
355     12      236     1 1 3 3 15 37 67 145 295 421 1849 2151 
356     12      239     1 1 3 15 17 41 109 125 509 407 1927 2401 
357     12      262     1 1 7 5 9 39 69 1 259 821 1837 947 
358     12      283     1 1 7 9 25 55 127 185 143 211 1615 1949 
359     12      286     1 3 3 13 15 25 25 231 197 329 1319 853 
360     12      307     1 3 7 11 29 1 23 131 473 497 1147 3779 
361     12      313     1 3 1 15 21 23 67 243 191 353 1091 2121 
362     12      319     1 1 7 11 27 15 41 183 235 219 303 795 
363     12      348     1 3 7 15 3 21 19 187 365 453 1069 1983 
364     12      352     1 1 7 1 27 11 95 117 433 453 1839 3863 
365     12      357     1 3 3 5 29 63 17 243 247 609 1999 785 
366     12      391     1 1 1 7 21 17 57 99 227 217 585 397 
367     12      398     1 1 1 13 13 41 75 153 355 175 313 2237 
368     12      400     1 3 7 9 27 63 1 33 383 507 1315 1691 
369     12      412     1 1 3 3 17 33 65 235 395 317 1769 2937 
370     12      415     1 3 1 5 31 19 25 15 373 823 2003 1309 
371     12      422     1 3 3 5 3 33 43 225 445 181 325 797 
372     12      440     1 1 3 1 11 19 49 129 73 983 621 2381 
373     12      460     1 3 3 15 1 33 109 33 363 925 589 3955 
374     12      465     1 1 3 3 11 21 23 99 159 949 977 3103 
375     12      468     1 1 5 3 3 15 41 45 325 703 907 2467 
376     12      515     1 1 7 15 31 11 71 225 199 521 933 2777 
377     12      536     1 3 5 9 13 55 23 199 293 297 2031 3815 
378     12      539     1 1 3 13 25 5 25 229 301 301 1165 2229 
379     12      551     1 1 1 11 1 39 25 211 233 233 355 3131 
380     12      558     1 3 3 9 31 37 113 17 163 547 877 333 
381     12      563     1 1 7 1 31 7 117 175 191 191 1185 2637 
382     12      570     1 1 3 11 27 59 33 79 293 657 1899 1547 
383     12      595     1 3 1 7 29 43 89 227 315 971 1175 693 
384     12      598     1 1 1 5 9 43 17 37 321 907 441 21 
385     12      617     1 3 1 15 25 47 21 11 385 353 1103 3445 
386     12      647     1 1 7 9 21 63 9 147 79 627 471 1683 
387     12      654     1 3 7 7 1 13 29 127 3 629 1213 2981 
388     12      678     1 1 5 9 7 41 41 235 131 379 23 1251 
389     12      713     1 3 5 3 17 31 101 193 271 189 1923 1849 
390     12      738     1 1 1 5 21 43 35 209 359 185 1921 2773 
391     12      747     1 1 7 5 31 5 41 127 415 151 1027 2171 
392     12      750     1 1 1 3 31 53 127 37 273 415 1657 467 
393     12      757     1 3 7 3 29 43 77 35 347 37 1265 1211 
394     12      772     1 1 1 1 3 31 89 57 405 491 1685 2727 
395     12      803     1 3 5 15 29 9 23 79 253 161 273 4001 
396     12      810     1 3 3 13 29 49 73 145 203 215 423 3293 
397     12      812     1 1 5 15 29 43 49 99 335 1017 315 2761 
398     12      850     1 3 1 9 15 39 87 243 331 1015 1771 1303 
399     12      862     1 1 1 5 5 1 15 19 277 699 1957 373 
400     12      906     1 1 7 1 7 13 41 211 167 705 1011 2097 
401     12      908     1 1 7 9 3 25 127 75 271 817 629 2027 
402     12      929     1 3 1 5 31 49 17 113 71 233 443 3005 
403     12      930     1 1 1 1 1 23 87 29 121 485 227 2981 
404     12      954     1 1 1 1 19 3 127 31 57 567 375 1121 
405     12      964     1 1 1 9 15 49 67 49 473 957 1955 29 
406     12      982     1 1 1 1 15 49 71 241 43 611 953 4013 
407     12      985     1 3 3 3 13 57 45 65 5 101 511 3317 
408     12      991     1 3 3 7 25 9 97 35 495 791 223 1555 
409     12      992     1 1 3 1 25 37 73 61 31 525 855 695 
410     12      1067    1 3 5 11 15 45 11 53 393 557 349 2507 
411     12      1070    1 1 5 11 1 43 77 215 149 81 1663 987 
412     12      1096    1 3 5 5 13 55 45 79 305 65 1721 605 
413     12      1099    1 1 1 3 15 19 103 249 253 935 1933 3809 
414     12      1116    1 1 1 11 1 43 119 233 79 539 1397 1669 
415     12      1143    1 1 7 15 9 27 29 125 335 573 1721 551 
416     12      1165    1 1 5 11 29 33 121 47 351 857 1155 2939 
417     12      1178    1 1 1 13 21 13 107 179 135 597 39 2129 
418     12      1184    1 3 5 15 11 5 101 227 457 773 1369 2229 
419     12      1202    1 1 7 3 9 47 53 47 315 221 369 2991 
420     12      1213    1 3 7 9 7 1 117 229 193 105 1591 875 
421     12      1221    1 3 1 13 5 49 47 95 431 37 2037 3793 
422     12      1240    1 1 3 11 17 39 91 225 109 375 1431 3689 
423     12      1246    1 3 5 7 27 39 23 215 55 573 965 321 
424     12      1252    1 1 3 13 1 51 23 181 399 471 429 2409 
425     12      1255    1 1 7 9 17 21 43 177 327 789 1581 3505 
426     12      1267    1 1 7 7 9 39 59 187 203 655 545 2107 
427     12      1293    1 1 7 3 15 13 83 189 213 575 255 1475 
428     12      1301    1 1 1 3 23 27 101 67 299 1003 1351 1799 
429     12      1305    1 3 3 9 13 29 83 251 151 607 2047 447 
430     12      1332    1 3 1 5 5 7 23 145 241 437 1215 489 
431     12      1349    1 3 1 11 3 63 55 53 187 179 1137 3923 
432     12      1384    1 3 7 11 31 29 127 37 509 835 1693 965 
433     12      1392    1 1 1 9 29 1 11 61 459 415 317 2981 
434     12      1402    1 3 7 3 1 61 31 77 55 301 1333 2803 
435     12      1413    1 1 7 13 3 1 117 185 385 771 409 3667 
436     12      1417    1 1 5 13 19 3 43 53 41 111 1617 95 
437     12      1423    1 3 7 13 25 25 125 91 85 99 461 3999 
438     12      1451    1 3 5 7 7 29 15 155 237 443 1187 623 
439     12      1480    1 3 3 1 11 3 35 169 449 917 141 1525 
440     12      1491    1 1 5 7 17 11 85 31 165 35 1069 3395 
441     12      1503    1 3 7 15 11 21 89 61 459 211 959 2411 
442     12      1504    1 1 5 11 25 35 1 137 491 955 1287 3955 
443     12      1513    1 3 3 11 13 47 105 69 119 455 769 1665 
444     12      1538    1 3 3 13 17 9 27 25 445 611 855 1273 
445     12      1544    1 1 3 9 3 5 107 89 443 991 727 871 
446     12      1547    1 1 5 3 19 43 93 163 193 395 99 1717 
447     12      1555    1 1 1 7 23 43 121 205 249 255 1763 1867 
448     12      1574    1 1 3 3 1 45 33 191 475 503 761 1845 
449     12      1603    1 1 3 3 31 39 11 203 9 183 407 3787 
450     12      1615    1 1 5 11 11 3 65 175 131 757 1717 1003 
451     12      1618    1 1 1 15 13 61 29 123 269 531 257 1399 
452     12      1629    1 3 5 5 13 23 23 1 293 921 79 479 
453     12      1634    1 1 3 13 9 55 21 15 47 685 829 2679 
454     12      1636    1 3 5 11 1 39 97 59 37 787 991 263 
455     12      1639    1 3 5 15 31 3 45 159 219 161 1025 665 
456     12      1657    1 3 7 15 11 51 51 19 181 125 1677 2125 
457     12      1667    1 1 3 5 27 23 79 161 97 581 405 2239 
458     12      1681    1 3 1 11 17 1 97 33 31 771 707 1053 
459     12      1697    1 1 1 11 11 51 113 47 51 827 385 3211 
460     12      1704    1 3 3 7 17 3 99 57 59 199 1359 2459 
461     12      1709    1 1 5 11 1 7 19 37 53 435 1095 495 
462     12      1722    1 1 5 13 19 5 95 109 245 737 1163 33 
463     12      1730    1 3 5 3 1 17 79 195 153 857 603 2905 
464     12      1732    1 3 5 5 31 51 71 103 121 5 931 217 
465     12      1802    1 1 5 7 31 39 11 9 223 365 1317 449 
466     12      1804    1 3 5 3 17 19 85 121 161 75 527 3941 
467     12      1815    1 3 5 9 17 53 41 255 207 251 925 2395 
468     12      1826    1 3 3 3 13 5 109 125 293 165 1715 1017 
469     12      1832    1 3 7 1 23 27 45 141 267 187 611 59 
470     12      1843    1 3 1 9 11 9 81 239 469 905 525 1549 
471     12      1849    1 1 1 15 13 21 71 87 199 389 139 3499 
472     12      1863    1 3 7 5 21 41 107 195 369 391 271 3351 
473     12      1905    1 3 3 1 17 19 75 219 415 241 1441 967 
474     12      1928    1 1 1 15 7 7 79 213 391 831 1649 3741 
475     12      1933    1 3 5 3 29 57 99 207 243 915 1969 2499 
476     12      1939    1 1 3 13 1 3 27 211 271 657 1251 3333 
477     12      1976    1 3 3 1 3 31 49 53 273 837 1771 1405 
478     12      1996    1 3 7 7 1 33 125 221 179 601 565 2709 
479     12      2013    1 1 1 7 31 19 81 173 413 849 579 2487 
480     12      2014    1 1 7 11 17 23 97 145 383 1015 547 483 
481     12      2020    1 3 1 3 11 63 41 175 43 283 1441 2695 
482     13      13      1 1 7 9 5 23 61 161 149 49 1851 1281 4615 
483     13      19      1 1 5 7 23 47 111 213 317 107 849 1563 6863 
484     13      26      1 1 7 9 31 53 115 233 497 23 1395 327 551 
485     13      41      1 1 7 13 21 51 17 109 29 1003 1221 2175 4645 
486     13      50      1 3 3 15 7 57 103 131 63 217 607 2311 1237 
