d       s       a       m_i     
2       1       0       1 
3       2       1       1 1 
4       3       1       1 1 1 
5       3       2       1 3 1 
6       4       1       1 3 7 1 
7       4       4       1 1 3 7 
8       5       2       1 3 1 7 23 
9       5       13      1 3 1 1 13 
10      5       7       1 1 7 7 9 
11      5       14      1 1 5 15 21 
12      5       11      1 3 5 3 23 
13      5       4       1 1 1 15 27 
14      6       1       1 3 7 9 1 9 
15      6       16      1 1 7 15 31 37 
16      6       13      1 1 5 5 31 9 
17      6       22      1 3 1 13 3 49 
18      6       19      1 1 7 15 1 13 
19      6       25      1 3 3 13 29 37 
20      7       1       1 1 1 5 13 51 45 
21      7       32      1 3 1 7 19 23 51 
22      7       4       1 3 7 1 27 45 61 
23      7       8       1 3 7 3 9 51 1 
24      7       7       1 3 1 11 27 3 23 
25      7       56      1 3 7 9 5 35 105 
26      7       14      1 1 1 1 19 21 69 
27      7       28      1 3 3 5 11 61 41 
28      7       19      1 1 3 13 15 17 25 
29      7       50      1 1 1 13 19 47 19 
30      7       21      1 1 7 1 31 23 127 
31      7       42      1 1 7 1 31 59 123 
32      7       31      1 1 5 5 13 39 109 
33      7       62      1 3 7 15 23 19 127 
34      7       37      1 1 5 3 1 47 15 
35      7       41      1 1 3 13 23 1 61 
36      7       55      1 3 3 3 3 35 83 
37      7       59      1 1 5 5 13 5 19 
38      8       14      1 1 5 9 13 51 25 117 
39      8       56      1 1 5 11 19 33 111 71 
40      8       21      1 3 1 9 5 63 33 27 
41      8       22      1 3 1 5 19 57 15 181 
42      8       38      1 3 7 5 5 41 115 15 
43      8       47      1 3 1 9 9 23 45 43 
44      8       49      1 1 1 1 13 1 109 29 
45      8       50      1 1 5 13 31 29 95 111 
46      8       52      1 1 1 3 9 39 109 17 
47      8       67      1 1 1 5 17 17 47 153 
48      8       70      1 1 1 3 31 57 43 17 
49      8       84      1 3 7 3 29 17 91 153 
50      8       97      1 3 3 5 21 7 73 91 
51      8       103     1 1 7 11 13 9 83 213 
52      8       115     1 1 7 3 17 55 37 189 
53      8       122     1 3 7 5 7 15 39 247 
54      9       8       1 3 1 9 27 41 83 63 89 
55      9       13      1 3 7 11 9 51 59 89 11 
56      9       16      1 3 5 13 29 21 55 65 45 
57      9       22      1 3 7 5 29 33 83 229 287 
58      9       25      1 3 5 15 13 7 89 151 391 
59      9       44      1 3 3 9 29 3 111 177 475 
60      9       47      1 3 1 1 5 11 23 33 337 
61      9       52      1 1 1 15 1 23 111 175 125 
62      9       55      1 3 7 15 27 47 31 103 245 
63      9       59      1 3 5 7 7 3 127 187 245 
64      9       62      1 1 1 13 13 33 33 249 381 
65      9       67      1 1 3 11 27 45 95 31 419 
66      9       74      1 1 1 13 17 53 35 197 455 
67      9       81      1 1 5 7 21 43 93 237 467 
68      9       82      1 3 5 15 1 19 43 245 193 
69      9       87      1 1 7 11 21 21 23 147 429 
70      9       91      1 3 3 7 27 33 99 127 97 
71      9       94      1 1 5 11 13 21 101 73 17 
72      9       103     1 3 1 13 3 41 7 237 311 
73      9       104     1 3 7 1 1 43 115 215 499 
74      9       109     1 3 1 13 1 9 113 121 473 
75      9       122     1 1 5 5 21 7 5 171 41 
76      9       124     1 3 7 15 31 11 87 89 495 
77      9       137     1 1 5 1 9 9 19 161 325 
