d       s       a       m_i     
2       1       0       1 
3       2       1       1 1 
4       3       1       1 1 1 
5       3       2       1 3 1 
6       4       1       1 3 7 1 
7       4       4       1 1 3 7 
8       5       2       1 3 3 9 31 
9       5       13      1 3 1 1 3 
10      5       7       1 3 5 3 25 
11      5       14      1 3 5 13 11 
12      5       11      1 1 5 15 29 
13      5       4       1 3 3 3 23 
14      6       1       1 3 5 15 23 3 
15      6       16      1 1 5 13 19 3 
16      6       13      1 1 7 3 19 17 
17      6       22      1 3 3 15 1 49 
18      6       19      1 3 1 13 19 29 
19      6       25      1 3 1 1 9 63 
20      7       1       1 1 3 7 9 33 23 
21      7       32      1 1 7 13 11 11 39 
22      7       4       1 3 7 9 5 15 83 
23      7       8       1 3 7 7 19 3 31 
24      7       7       1 1 5 3 5 15 117 
25      7       56      1 1 5 1 13 35 3 
26      7       14      1 1 1 13 23 29 43 
27      7       28      1 3 7 1 1 49 7 
28      7       19      1 1 1 13 25 51 27 
29      7       50      1 1 1 9 11 7 47 
30      7       21      1 3 3 7 17 7 31 
31      7       42      1 3 3 9 9 53 9 
32      7       31      1 3 3 5 11 41 19 
33      7       62      1 3 7 11 31 47 1 
34      7       37      1 1 3 15 3 9 123 
35      7       41      1 1 5 9 1 35 9 
36      7       55      1 3 3 15 15 17 31 
37      7       59      1 3 5 15 31 31 117 
38      8       14      1 3 7 5 23 31 123 165 
39      8       56      1 1 5 3 23 47 33 35 
40      8       21      1 1 5 7 13 31 45 205 
41      8       22      1 3 3 1 13 1 51 177 
42      8       38      1 3 7 1 23 45 55 19 
43      8       47      1 3 5 15 7 23 41 151 
44      8       49      1 1 1 9 21 49 89 165 
45      8       50      1 1 3 11 11 61 7 113 
46      8       52      1 1 1 5 7 5 121 215 
47      8       67      1 1 1 9 21 29 65 57 
48      8       70      1 1 1 5 21 31 67 83 
49      8       84      1 1 5 13 7 23 105 115 
50      8       97      1 3 7 7 9 33 119 185 
51      8       103     1 1 5 3 9 57 73 59 
52      8       115     1 3 7 15 15 51 47 1 
53      8       122     1 3 3 7 23 55 79 213 
54      9       8       1 1 1 7 3 57 105 241 283 
55      9       13      1 1 7 5 23 61 95 157 473 
56      9       16      1 3 3 9 25 19 119 25 21 
57      9       22      1 3 7 3 3 11 71 227 103 
58      9       25      1 1 1 1 23 21 21 217 111 
59      9       44      1 1 5 15 31 51 29 77 383 
60      9       47      1 3 3 7 21 17 87 247 65 
61      9       52      1 3 1 11 31 59 107 35 257 
62      9       55      1 1 7 5 21 25 99 75 135 
63      9       59      1 1 1 7 17 35 55 197 499 
64      9       62      1 1 5 9 23 31 33 1 269 
65      9       67      1 3 5 1 21 31 39 195 509 
66      9       74      1 1 5 9 3 45 101 139 55 
67      9       81      1 1 5 9 17 21 41 171 423 
68      9       82      1 1 7 9 23 63 79 199 163 
69      9       87      1 1 7 5 31 25 13 231 469 
70      9       91      1 1 3 15 21 41 99 115 345 
71      9       94      1 3 7 3 11 15 25 5 463 
72      9       103     1 3 1 11 5 45 111 99 493 
73      9       104     1 1 1 3 25 11 103 223 107 
74      9       109     1 3 1 15 13 19 99 33 277 
75      9       122     1 1 1 9 3 39 83 87 309 
76      9       124     1 3 1 13 9 43 35 61 287 
77      9       137     1 3 3 3 1 53 97 25 203 
