d       s       a       m_i     
78      9       138     1 3 7 11 11 19 121 183 481 
79      9       143     1 3 1 5 23 9 35 161 335 
80      9       145     1 1 5 7 15 45 121 241 41 
81      9       152     1 3 1 1 23 3 99 21 107 
82      9       157     1 1 1 5 9 45 11 37 485 
83      9       167     1 3 7 15 11 27 31 3 83 
84      9       173     1 1 3 1 19 19 49 21 317 
85      9       176     1 1 1 5 7 19 83 103 335 
86      9       181     1 1 5 7 9 27 75 181 9 
87      9       182     1 3 5 11 13 39 99 73 281 
88      9       185     1 1 7 15 29 5 101 11 351 
89      9       191     1 3 5 9 21 53 35 93 309 
90      9       194     1 1 7 11 13 1 17 117 73 
91      9       199     1 3 7 1 21 49 15 143 247 
92      9       218     1 1 1 9 15 31 39 113 105 
93      9       220     1 3 7 11 21 11 125 49 369 
94      9       227     1 3 3 9 17 19 17 247 409 
95      9       229     1 1 1 3 1 15 19 217 403 
96      9       230     1 1 1 5 13 33 119 47 5 
97      9       234     1 3 1 7 5 45 45 113 139 
98      9       236     1 1 1 11 3 19 107 119 383 
99      9       241     1 1 7 3 15 35 63 157 33 
100     9       244     1 3 3 5 27 61 79 89 117 
101     9       253     1 3 5 3 13 43 39 193 41 
102     10      4       1 1 5 5 7 5 57 15 15 1021 
103     10      13      1 3 1 9 27 9 83 151 377 339 
104     10      19      1 1 1 11 15 57 47 145 129 343 
105     10      22      1 3 5 7 15 39 87 113 379 269 
106     10      50      1 3 1 13 17 33 39 1 493 109 
107     10      55      1 3 3 3 7 11 93 119 165 595 
108     10      64      1 3 5 13 31 45 79 45 397 899 
109     10      69      1 1 5 15 11 55 1 73 469 1005 
110     10      98      1 1 3 1 27 55 107 93 409 961 
111     10      107     1 1 7 1 31 37 35 237 101 631 
112     10      115     1 1 7 15 31 55 1 181 497 375 
113     10      121     1 3 5 5 29 9 73 89 361 129 
114     10      127     1 1 7 3 27 49 67 37 111 999 
115     10      134     1 3 7 5 27 33 67 57 13 19 
116     10      140     1 3 5 3 13 31 55 249 315 285 
117     10      145     1 1 5 15 3 23 125 161 143 1013 
118     10      152     1 3 7 9 19 1 25 131 409 37 
119     10      158     1 1 1 11 21 35 11 131 351 273 
120     10      161     1 3 3 5 17 45 45 55 481 997 
121     10      171     1 1 7 1 29 23 65 169 191 535 
122     10      181     1 1 1 15 17 25 19 113 223 527 
123     10      194     1 3 3 15 25 33 99 165 131 595 
124     10      199     1 1 3 11 23 19 89 173 441 811 
125     10      203     1 1 3 1 23 53 31 35 183 25 
126     10      208     1 3 3 11 5 3 11 63 497 281 
127     10      227     1 3 5 15 1 17 39 69 305 819 
128     10      242     1 3 5 9 15 33 103 123 91 765 
129     10      251     1 3 7 11 11 41 39 207 263 917 
130     10      253     1 1 7 15 11 19 69 49 285 77 
131     10      265     1 1 7 9 27 23 61 97 147 541 
132     10      266     1 1 5 1 7 33 51 51 125 325 
133     10      274     1 1 3 13 23 11 75 107 121 195 
134     10      283     1 3 7 1 17 61 51 107 309 97 
135     10      289     1 3 5 7 23 61 97 181 69 405 
136     10      295     1 1 1 11 17 51 113 25 167 141 
137     10      301     1 1 5 5 1 3 79 27 35 389 
138     10      316     1 1 3 1 5 25 1 179 9 259 
139     10      319     1 3 3 9 15 27 121 237 85 315 
140     10      324     1 3 3 5 1 37 21 157 309 869 
141     10      346     1 1 5 11 7 57 29 179 163 931 
142     10      352     1 1 7 3 23 35 87 201 185 457 
143     10      361     1 3 3 13 9 25 5 145 181 1015 
144     10      367     1 3 5 1 3 41 59 81 287 1 
145     10      382     1 3 1 5 13 27 119 63 475 779 
146     10      395     1 1 1 9 15 11 81 17 251 585 
147     10      398     1 3 5 7 25 11 5 91 59 205 
148     10      400     1 1 5 5 27 43 15 23 207 51 
149     10      412     1 3 1 15 9 33 73 123 219 343 
150     10      419     1 3 5 15 5 51 119 161 501 809 
151     10      422     1 3 3 15 3 21 103 27 7 371 
152     10      426     1 1 3 9 25 1 61 223 413 419 
153     10      428     1 1 5 3 17 19 21 137 175 577 
154     10      433     1 1 3 15 15 21 47 101 407 659 
155     10      446     1 3 1 5 9 29 81 183 417 423 
156     10      454     1 3 3 15 27 15 27 105 267 777 
157     10      457     1 1 5 1 21 9 61 109 203 459 
158     10      472     1 1 5 9 15 57 65 113 209 479 
159     10      493     1 1 3 3 15 3 87 229 461 805 
160     10      505     1 3 3 5 19 47 107 241 253 47 
161     10      508     1 3 3 11 23 23 19 203 101 983 
162     11      2       1 3 5 15 23 57 43 129 151 621 127 
163     11      11      1 3 1 1 11 13 41 131 77 269 1965 
164     11      21      1 1 5 7 7 47 7 249 413 243 623 
165     11      22      1 1 1 7 5 51 105 243 109 539 697 
166     11      35      1 1 7 7 11 15 43 231 239 951 1453 
167     11      49      1 1 3 11 21 43 127 201 209 133 1215 
168     11      50      1 3 7 11 11 9 121 141 147 451 841 
169     11      56      1 1 7 13 31 51 9 185 61 375 1581 
170     11      61      1 1 3 5 23 63 7 147 5 743 135 
171     11      70      1 1 3 7 11 17 7 25 399 611 1747 
172     11      74      1 3 5 13 23 27 83 239 211 141 1401 
173     11      79      1 1 5 11 21 17 83 47 39 707 143 
174     11      84      1 3 5 13 31 5 3 55 311 603 239 
175     11      88      1 3 5 5 11 27 95 187 299 269 1983 
176     11      103     1 3 3 5 5 55 109 199 471 435 369 
177     11      104     1 1 7 13 3 13 3 55 293 295 1259 
178     11      112     1 3 7 7 31 11 115 171 23 1011 1785 
179     11      115     1 1 1 15 17 15 45 75 443 521 1883 
180     11      117     1 3 3 7 9 61 107 73 449 629 517 
181     11      122     1 1 7 9 1 1 49 179 229 575 17 
182     11      134     1 1 1 1 15 47 1 97 35 761 195 
183     11      137     1 3 7 13 29 9 103 73 85 403 1675 
184     11      146     1 1 1 3 3 61 25 153 451 491 995 
185     11      148     1 1 3 15 27 33 45 73 173 821 1545 
186     11      157     1 1 3 7 21 47 79 177 465 287 1481 
187     11      158     1 3 5 9 25 23 5 143 155 123 1311 
188     11      162     1 1 1 9 23 3 109 211 55 459 201 
189     11      164     1 3 1 13 11 53 9 241 425 831 233 
190     11      168     1 1 1 9 7 29 121 155 47 743 519 
191     11      173     1 1 3 9 3 51 41 19 363 771 1381 
192     11      185     1 3 1 5 23 21 13 177 175 631 567 
193     11      186     1 3 1 1 19 5 37 33 423 959 593 
194     11      191     1 3 7 3 29 7 25 171 131 809 765 
195     11      193     1 1 3 5 27 7 119 187 297 589 1607 
196     11      199     1 3 5 5 29 49 85 111 489 245 869 
197     11      213     1 3 7 3 9 51 89 69 139 59 1123 
198     11      214     1 1 3 13 15 35 11 205 285 453 79 
199     11      220     1 1 3 5 9 37 89 39 399 839 439 
200     11      227     1 3 7 3 1 1 9 105 251 193 1049 
201     11      236     1 3 1 1 9 53 31 19 339 773 257 
202     11      242     1 3 1 13 29 57 109 217 363 1023 1681 
203     11      251     1 3 3 7 23 13 75 47 311 333 1673 
204     11      256     1 3 3 5 23 49 59 137 301 183 1773 
205     11      259     1 1 5 5 9 55 83 113 251 579 1967 
206     11      265     1 1 1 13 3 37 77 253 273 1019 1543 
207     11      266     1 3 3 9 5 51 11 85 219 579 2017 
208     11      276     1 1 5 11 25 9 93 213 487 1023 1469 
209     11      292     1 3 3 13 5 13 53 59 125 475 89 
210     11      304     1 3 7 1 7 13 65 23 389 813 463 
211     11      310     1 3 3 1 29 1 67 153 345 561 1565 
212     11      316     1 3 7 1 9 45 9 233 381 807 1237 
213     11      319     1 1 1 13 11 43 123 95 153 655 125 
214     11      322     1 1 7 9 11 51 39 75 89 701 1797 
215     11      328     1 3 7 15 3 49 31 245 213 147 881 
216     11      334     1 3 5 7 5 41 101 171 429 907 507 
217     11      339     1 1 5 15 3 5 73 241 451 773 73 
218     11      341     1 1 7 7 31 25 103 127 405 643 809 
219     11      345     1 1 3 9 13 5 23 237 479 703 167 
220     11      346     1 1 7 5 21 35 81 43 379 235 505 
221     11      362     1 3 3 13 23 41 7 241 473 495 1591 
222     11      367     1 1 7 9 3 39 97 239 311 967 1537 
223     11      372     1 3 7 5 31 15 115 91 7 11 1187 
224     11      375     1 3 3 3 3 27 51 73 339 451 665 
225     11      376     1 1 3 1 25 43 121 111 229 649 1665 
226     11      381     1 3 3 11 21 63 61 125 147 449 197 
227     11      385     1 1 3 3 21 27 39 129 331 1005 597 
228     11      388     1 3 7 5 15 31 5 187 77 221 409 
229     11      392     1 3 7 3 25 49 5 143 269 451 2027 
230     11      409     1 3 3 7 17 53 27 15 115 347 1645 
231     11      415     1 1 5 11 21 53 69 159 483 427 335 
232     11      416     1 3 1 13 31 59 71 59 65 795 1291 
233     11      421     1 3 7 9 19 33 49 31 49 341 1657 
234     11      428     1 3 3 15 15 49 79 217 325 699 929 
235     11      431     1 1 5 7 25 47 3 177 331 979 1305 
236     11      434     1 1 7 11 29 55 93 103 57 495 1133 
237     11      439     1 1 7 15 21 45 7 125 169 151 1697 
238     11      446     1 3 7 13 13 29 29 139 403 413 623 
239     11      451     1 3 7 13 23 35 93 167 25 511 857 
240     11      453     1 1 1 5 29 19 61 63 41 723 1997 
241     11      457     1 3 1 11 23 23 87 209 249 475 1143 
242     11      458     1 1 7 1 29 13 91 145 331 443 953 
243     11      471     1 1 1 5 23 5 99 53 229 633 1233 
244     11      475     1 1 7 1 1 13 113 249 365 351 315 
245     11      478     1 1 3 9 19 49 43 187 195 929 1101 
246     11      484     1 1 1 7 19 47 37 99 319 61 993 
247     11      493     1 3 5 11 23 49 97 79 181 547 1329 
248     11      494     1 3 5 13 13 37 21 33 313 847 1861 
249     11      499     1 1 7 11 25 31 5 201 181 265 1651 
250     11      502     1 1 1 3 9 27 125 123 229 641 405 
251     11      517     1 3 3 1 17 33 93 81 483 17 2003 
252     11      518     1 3 1 7 19 11 25 135 397 795 1343 
253     11      524     1 1 5 9 21 43 71 129 167 957 2001 
254     11      527     1 3 1 1 11 15 39 87 179 993 545 
255     11      555     1 1 7 3 15 25 59 55 365 285 275 
256     11      560     1 1 7 15 29 47 49 157 283 673 1429 
257     11      565     1 3 3 3 21 59 11 211 217 803 1563 
258     11      569     1 3 3 1 7 19 35 171 339 231 799 
259     11      578     1 1 3 11 19 39 53 55 273 983 263 
260     11      580     1 1 1 1 13 5 73 231 19 969 655 
261     11      587     1 1 5 11 27 7 49 247 313 741 643 
262     11      589     1 3 3 15 5 31 89 5 143 549 1485 
263     11      590     1 1 5 1 15 37 1 243 239 473 595 
264     11      601     1 3 1 5 21 3 55 23 63 703 793 
265     11      607     1 3 7 15 11 45 127 93 281 921 1155 
266     11      611     1 3 3 1 19 51 107 13 153 49 407 
267     11      614     1 3 3 7 21 21 69 5 55 691 1893 
268     11      617     1 3 5 7 11 61 83 133 33 103 1189 
269     11      618     1 3 5 3 11 29 23 215 467 737 1883 
270     11      625     1 1 5 5 3 11 79 195 193 979 2027 
271     11      628     1 3 5 5 29 45 33 163 135 793 1205 
272     11      635     1 1 7 7 29 27 41 113 267 239 1425 
273     11      641     1 3 5 11 21 61 53 129 13 427 1207 
274     11      647     1 3 5 7 5 37 31 23 79 563 363 
275     11      654     1 3 7 5 27 21 23 233 431 731 1121 
276     11      659     1 3 7 13 15 29 53 69 39 889 1197 
277     11      662     1 1 1 9 27 45 117 165 397 623 1863 
278     11      672     1 3 1 11 15 17 17 237 223 447 705 
279     11      675     1 1 5 15 21 15 15 35 493 517 1807 
280     11      682     1 3 5 7 17 63 121 185 495 519 1693 
281     11      684     1 3 7 11 1 19 89 193 341 173 691 
282     11      689     1 1 1 3 1 27 55 93 103 1013 413 
283     11      695     1 3 3 1 25 17 59 9 359 171 1715 
284     11      696     1 1 1 11 25 59 105 53 373 263 921 
285     11      713     1 3 7 15 29 11 93 87 149 849 2021 
286     11      719     1 1 5 11 5 33 49 209 483 51 189 
287     11      724     1 1 5 11 11 17 127 51 423 543 1275 
288     11      733     1 3 5 3 23 49 61 35 51 677 255 
289     11      734     1 1 3 3 5 21 125 57 265 249 145 
290     11      740     1 1 1 1 29 7 21 141 99 547 133 
291     11      747     1 3 1 15 5 1 71 37 483 915 1525 
292     11      749     1 3 3 9 9 53 55 211 393 431 1217 
293     11      752     1 3 7 7 11 53 21 123 341 545 767 
294     11      755     1 1 7 9 21 47 75 97 497 591 773 
295     11      762     1 3 5 5 27 15 123 125 141 787 171 
296     11      770     1 3 1 1 23 15 29 255 197 229 11 
297     11      782     1 3 1 13 31 19 87 127 31 99 837 
298     11      784     1 1 3 9 21 29 105 109 317 1007 939 
299     11      787     1 3 3 13 11 37 19 95 277 243 1891 
300     11      789     1 1 7 13 17 5 17 73 87 63 1061 
301     11      793     1 1 7 7 21 53 105 185 117 735 1835 
302     11      796     1 1 5 3 9 7 115 21 391 489 727 
303     11      803     1 3 1 15 27 1 1 123 441 425 655 
304     11      805     1 3 7 9 9 21 15 147 141 1009 479 
305     11      810     1 1 3 3 19 25 121 145 5 583 1545 
306     11      815     1 3 1 15 7 53 67 35 341 671 1511 
307     11      824     1 3 5 13 17 31 59 17 281 407 509 
308     11      829     1 3 1 13 17 35 55 229 171 49 1407 
309     11      830     1 3 3 13 7 25 31 185 441 155 619 
310     11      832     1 3 1 13 1 3 63 69 485 891 391 
311     11      841     1 3 5 5 29 19 35 59 325 65 79 
312     11      847     1 3 5 7 3 7 95 249 503 881 1163 
313     11      849     1 1 1 9 7 17 121 53 511 899 1339 
314     11      861     1 3 3 1 21 41 127 205 495 243 835 
315     11      871     1 3 3 3 29 55 49 33 429 339 995 
316     11      878     1 3 3 9 15 23 95 203 281 885 1243 
317     11      889     1 1 1 7 21 57 61 125 183 739 1171 
318     11      892     1 3 7 7 1 9 89 57 441 275 1069 
319     11      901     1 3 1 1 3 51 51 233 295 53 1219 
320     11      908     1 3 5 15 7 63 77 219 93 663 1569 
321     11      920     1 3 1 13 27 17 61 233 263 739 1117 
322     11      923     1 1 1 11 25 5 43 47 295 353 1721 
323     11      942     1 1 7 9 15 41 115 33 351 479 1247 
324     11      949     1 1 5 7 11 43 25 59 375 639 1013 
325     11      950     1 3 3 11 31 63 15 83 385 803 265 
326     11      954     1 3 1 1 1 29 95 73 467 45 1801 
327     11      961     1 1 1 5 21 43 45 117 491 735 909 
328     11      968     1 1 7 11 11 33 127 3 249 687 731 
329     11      971     1 1 7 5 31 55 31 185 91 381 1047 
330     11      973     1 3 5 11 3 25 99 173 87 739 1915 
331     11      979     1 3 7 9 21 55 61 133 359 507 659 
332     11      982     1 1 3 13 31 5 71 27 193 961 255 
333     11      986     1 3 7 13 9 9 47 103 391 31 123 
334     11      998     1 3 7 13 17 29 127 91 407 1017 7 
335     11      1001    1 1 3 7 11 61 45 181 329 527 1341 
336     11      1010    1 1 5 5 13 19 51 77 169 193 1827 
337     11      1012    1 3 5 11 7 37 39 69 49 79 495 
338     12      41      1 1 5 5 15 43 29 61 239 991 257 1121 
339     12      52      1 3 1 13 27 55 85 77 275 965 601 2707 
340     12      61      1 1 3 3 13 39 77 71 121 719 191 2311 
341     12      62      1 1 1 15 5 49 69 131 235 555 449 3025 
342     12      76      1 1 1 11 15 23 55 213 497 65 1605 3849 
343     12      104     1 1 7 11 19 29 77 33 261 977 1567 3503 
344     12      117     1 1 5 3 31 29 43 137 239 241 699 683 
345     12      131     1 3 7 1 7 13 109 153 255 893 1791 2087 
346     12      143     1 3 1 7 29 17 89 237 141 767 1047 2973 
347     12      145     1 1 7 15 17 37 81 211 451 891 1175 1575 
348     12      157     1 1 5 9 29 33 13 113 191 645 1135 999 
349     12      167     1 1 1 11 1 53 33 123 399 385 999 273 
350     12      171     1 1 3 9 27 35 89 185 71 979 1391 2563 
351     12      176     1 1 5 13 9 61 39 79 467 7 1245 2201 
352     12      181     1 1 1 15 13 19 95 111 5 257 1285 253 
353     12      194     1 3 7 13 9 53 61 193 209 929 443 4033 
354     12      217     1 1 7 11 11 55 23 229 17 159 1725 1015 
355     12      236     1 3 3 1 1 39 49 77 487 81 737 597 
356     12      239     1 1 3 9 19 29 125 255 231 991 877 3099 
357     12      262     1 3 5 1 19 61 121 9 43 791 1441 2647 
358     12      283     1 1 1 7 23 29 117 19 235 461 621 2149 
359     12      286     1 1 5 5 25 39 119 183 425 817 723 1143 
360     12      307     1 1 5 9 7 17 9 77 333 879 1003 661 
361     12      313     1 1 3 15 1 47 15 121 189 17 397 3895 
362     12      319     1 1 1 11 11 7 37 121 137 377 1927 3037 
363     12      348     1 3 5 15 21 31 15 131 357 859 1947 483 
364     12      352     1 3 5 7 11 11 11 123 17 587 191 2169 
365     12      357     1 1 3 15 17 11 59 211 335 535 923 1347 
366     12      391     1 3 1 1 11 57 57 109 121 415 2021 2633 
367     12      398     1 3 3 9 11 51 73 145 39 49 699 387 
368     12      400     1 1 5 1 15 15 49 159 367 265 1481 2917 
369     12      412     1 3 7 1 27 57 123 11 359 705 435 3811 
370     12      415     1 3 5 1 11 9 57 113 463 1009 1825 3189 
371     12      422     1 1 1 1 31 31 21 207 423 471 163 297 
372     12      440     1 1 3 1 25 37 25 209 9 45 1263 3637 
373     12      460     1 3 3 1 11 5 87 85 233 9 619 2019 
374     12      465     1 1 1 13 3 31 53 127 311 485 1865 2633 
375     12      468     1 1 7 13 3 51 105 149 217 71 1317 3113 
376     12      515     1 3 3 1 11 63 107 53 423 299 1159 929 
377     12      536     1 1 5 7 17 29 117 39 5 257 509 51 
378     12      539     1 3 3 13 19 43 3 159 303 533 233 2565 
379     12      551     1 3 7 9 1 39 45 125 273 67 845 1745 
380     12      558     1 1 1 3 5 59 87 233 453 409 1577 1403 
381     12      563     1 1 5 5 31 7 21 131 281 319 253 2691 
382     12      570     1 1 3 7 17 17 83 67 327 815 1489 561 
383     12      595     1 1 5 9 21 59 63 169 149 1017 1519 263 
384     12      598     1 1 1 1 1 61 109 103 343 161 991 1347 
385     12      617     1 1 1 7 1 39 41 7 167 337 1659 3415 
386     12      647     1 1 7 1 1 57 123 27 273 917 773 11 
387     12      654     1 3 5 7 7 35 41 193 103 881 779 2863 
388     12      678     1 1 5 1 29 9 75 19 271 277 827 2493 
389     12      713     1 1 1 13 15 19 117 237 97 405 2007 33 
390     12      738     1 1 7 9 23 3 67 125 105 87 511 1835 
391     12      747     1 1 3 7 3 53 53 133 1 853 907 1731 
392     12      750     1 3 1 13 7 21 77 249 191 593 729 541 
393     12      757     1 3 1 7 11 17 101 159 111 23 1217 3411 
394     12      772     1 3 1 15 21 47 85 239 193 81 2047 4059 
395     12      803     1 3 7 3 11 5 37 211 21 563 1853 2949 
396     12      810     1 3 3 11 23 19 63 201 73 197 1555 383 
397     12      812     1 1 3 5 19 13 11 19 403 49 1829 3259 
398     12      850     1 3 1 3 15 61 93 147 137 489 1639 1659 
399     12      862     1 3 7 13 27 15 53 79 159 855 1353 865 
400     12      906     1 3 3 5 19 39 5 59 245 671 1283 715 
401     12      908     1 1 3 1 27 35 103 221 423 705 849 113 
402     12      929     1 1 3 15 5 41 51 153 153 561 1391 4059 
403     12      930     1 1 5 13 13 15 41 139 423 1015 1255 901 
404     12      954     1 3 1 1 15 43 15 153 241 773 547 3591 
405     12      964     1 3 7 11 13 57 67 17 239 295 1173 1147 
406     12      982     1 1 3 3 19 41 49 175 305 57 913 1275 
407     12      985     1 1 5 13 1 51 35 17 53 153 1609 159 
408     12      991     1 3 7 9 1 59 65 183 273 489 945 3367 
409     12      992     1 1 5 11 13 39 107 129 411 177 281 263 
410     12      1067    1 1 3 9 11 57 107 65 453 263 441 2303 
411     12      1070    1 1 1 15 29 35 65 41 31 1017 1527 1205 
412     12      1096    1 3 7 5 17 5 39 251 227 175 637 37 
413     12      1099    1 1 7 1 15 43 83 159 121 731 2029 2899 
414     12      1116    1 1 3 11 21 59 23 11 9 87 1615 1933 
415     12      1143    1 1 5 7 19 31 17 23 21 623 783 1537 
416     12      1165    1 3 5 13 27 3 121 243 47 807 2043 397 
417     12      1178    1 3 1 13 25 31 57 125 153 831 1891 2037 
418     12      1184    1 1 5 3 25 53 43 77 487 33 1299 827 
419     12      1202    1 1 1 11 19 25 107 155 405 137 203 951 
420     12      1213    1 1 3 5 27 61 87 31 105 53 567 707 
421     12      1221    1 3 3 1 27 17 73 125 479 679 53 653 
422     12      1240    1 1 7 5 3 53 21 161 491 893 1045 3923 
423     12      1246    1 3 1 15 31 61 75 29 211 479 1519 3613 
424     12      1252    1 1 5 7 31 57 57 71 85 1015 1435 833 
425     12      1255    1 3 5 5 3 55 87 119 105 769 289 249 
426     12      1267    1 1 1 3 11 55 21 113 369 455 17 3191 
427     12      1293    1 1 5 15 31 39 99 29 27 863 1261 1707 
428     12      1301    1 3 3 7 29 13 111 129 405 31 1745 3623 
429     12      1305    1 1 5 13 7 9 119 33 153 111 945 1919 
430     12      1332    1 1 5 1 3 45 105 239 327 991 2039 2209 
431     12      1349    1 1 3 11 29 19 63 69 119 329 409 1113 
432     12      1384    1 3 7 11 5 15 101 99 327 285 1547 421 
433     12      1392    1 3 1 3 1 53 65 69 47 605 705 3205 
434     12      1402    1 1 7 15 1 7 119 225 271 493 933 1475 
435     12      1413    1 1 3 3 31 55 75 177 35 415 179 3549 
436     12      1417    1 3 5 13 25 35 77 245 419 251 1555 2163 
437     12      1423    1 3 5 9 5 15 35 145 283 719 1473 3507 
438     12      1451    1 3 3 7 3 13 55 101 115 135 1057 1353 
439     12      1480    1 1 7 15 25 27 93 219 65 313 849 3053 
440     12      1491    1 1 7 7 17 35 69 15 99 387 119 1993 
441     12      1503    1 1 3 9 5 31 107 159 339 899 1933 3245 
442     12      1504    1 1 7 9 23 57 29 15 275 509 1853 251 
443     12      1513    1 3 3 13 31 51 59 101 101 1005 1805 711 
444     12      1538    1 3 1 11 21 3 109 99 487 281 447 2321 
445     12      1544    1 1 3 1 29 49 77 79 373 483 1127 1245 
446     12      1547    1 1 1 3 3 5 71 229 259 231 119 757 
447     12      1555    1 1 5 7 27 19 117 241 467 977 1155 2011 
448     12      1574    1 3 5 3 23 45 77 205 197 645 2015 2839 
449     12      1603    1 3 1 15 9 17 13 3 23 665 381 2085 
450     12      1615    1 1 1 7 27 17 79 239 385 359 169 1275 
451     12      1618    1 1 3 15 5 63 27 213 491 543 1295 3681 
452     12      1629    1 1 1 13 17 61 7 137 425 945 933 957 
453     12      1634    1 3 1 9 5 51 51 67 165 321 285 3667 
454     12      1636    1 3 1 1 21 49 15 197 355 651 1071 871 
455     12      1639    1 3 3 15 13 43 119 21 153 879 1363 1251 
456     12      1657    1 3 5 3 5 61 119 253 463 485 1491 2859 
457     12      1667    1 1 3 15 9 59 77 51 99 355 1125 113 
458     12      1681    1 3 7 7 15 1 125 123 233 229 1889 205 
459     12      1697    1 3 3 15 23 59 69 205 295 209 1817 579 
460     12      1704    1 1 3 15 29 27 63 159 131 499 125 2837 
461     12      1709    1 3 5 11 17 35 85 69 105 503 981 2411 
462     12      1722    1 3 5 15 29 51 73 113 271 13 1075 55 
463     12      1730    1 1 7 3 1 35 85 67 131 497 879 669 
464     12      1732    1 3 7 7 19 21 109 181 225 195 241 2077 
465     12      1802    1 1 5 15 15 21 25 203 213 41 1093 3017 
466     12      1804    1 3 1 13 29 11 69 195 189 659 1255 2263 
467     12      1815    1 1 7 9 19 31 73 129 405 241 1123 953 
468     12      1826    1 1 1 7 5 63 97 157 111 369 815 1953 
469     12      1832    1 1 7 5 31 27 77 207 255 65 911 3217 
470     12      1843    1 3 5 7 23 43 33 143 309 769 1483 3903 
471     12      1849    1 1 7 15 15 9 73 175 121 3 115 2199 
472     12      1863    1 1 1 3 5 1 103 125 35 465 787 3089 
473     12      1905    1 1 5 1 5 59 91 215 449 127 199 3615 
474     12      1928    1 1 5 5 13 23 47 183 93 403 1507 1121 
475     12      1933    1 3 5 13 3 15 85 61 159 629 33 189 
476     12      1939    1 3 7 7 27 5 87 177 411 815 755 2925 
477     12      1976    1 3 1 7 11 27 53 25 489 1013 1059 99 
478     12      1996    1 1 7 15 9 13 21 19 25 591 1033 1967 
479     12      2013    1 3 7 11 25 25 45 233 19 953 1905 2855 
480     12      2014    1 3 7 5 7 49 19 239 413 473 869 2943 
481     12      2020    1 1 5 5 19 63 85 121 389 995 1543 911 
482     13      13      1 3 5 5 21 35 53 13 269 735 385 3443 3631 
483     13      19      1 1 7 3 3 25 121 169 345 543 1909 367 5449 
484     13      26      1 1 1 1 3 31 59 141 277 85 713 829 4233 
485     13      41      1 1 3 13 5 25 43 147 87 433 1053 261 1705 
486     13      50      1 1 7 7 31 63 31 205 385 285 1895 659 5199 
