d       s       a       m_i     
2       1       0       1 
3       2       1       1 1 
4       3       1       1 1 1 
5       3       2       1 3 1 
6       4       1       1 1 7 13 
7       4       4       1 1 3 7 
8       5       2       1 3 1 7 21 
9       5       13      1 3 1 3 9 
10      5       7       1 1 5 9 13 
11      5       14      1 1 3 9 13 
12      5       11      1 1 5 3 7 
13      5       4       1 1 5 7 11 
14      6       1       1 3 3 13 15 43 
15      6       16      1 3 5 11 25 45 
16      6       13      1 1 3 11 3 45 
17      6       22      1 3 5 1 9 21 
18      6       19      1 1 3 13 9 9 
19      6       25      1 3 5 7 17 53 
20      7       1       1 3 1 7 11 51 115 
21      7       32      1 1 7 9 25 35 11 
22      7       4       1 3 1 1 31 5 1 
23      7       8       1 1 5 9 11 1 121 
24      7       7       1 1 1 15 11 59 21 
25      7       56      1 3 1 3 17 49 51 
26      7       14      1 1 5 7 15 25 13 
27      7       28      1 3 7 7 1 45 7 
28      7       19      1 1 5 7 21 21 37 
29      7       50      1 3 1 13 9 49 23 
30      7       21      1 1 1 3 3 35 123 
31      7       42      1 1 7 5 15 47 117 
32      7       31      1 1 3 13 9 23 33 
33      7       62      1 1 1 13 25 23 63 
34      7       37      1 1 5 3 5 13 91 
35      7       41      1 1 5 5 23 7 101 
36      7       55      1 3 1 11 9 61 127 
37      7       59      1 3 1 9 1 57 93 
38      8       14      1 1 1 1 31 31 25 231 
39      8       56      1 3 7 7 29 17 59 215 
40      8       21      1 1 3 15 5 63 117 217 
41      8       22      1 3 1 1 29 5 111 51 
42      8       38      1 1 7 1 17 37 11 53 
43      8       47      1 3 7 15 29 5 3 67 
44      8       49      1 3 7 11 23 27 35 143 
45      8       50      1 1 5 11 11 33 103 179 
46      8       52      1 3 5 7 13 45 87 143 
47      8       67      1 3 1 13 17 17 49 249 
48      8       70      1 1 1 3 17 29 75 143 
49      8       84      1 1 1 3 19 55 65 109 
50      8       97      1 1 7 3 21 29 13 191 
51      8       103     1 1 3 7 7 5 97 179 
52      8       115     1 3 5 13 1 17 113 149 
53      8       122     1 3 3 11 25 13 105 75 
54      9       8       1 3 1 13 29 33 71 117 77 
55      9       13      1 1 1 1 31 41 9 245 205 
56      9       16      1 1 1 15 25 23 111 105 95 
57      9       22      1 1 3 5 3 5 81 251 221 
58      9       25      1 3 5 5 9 53 37 41 509 
59      9       44      1 1 5 15 21 25 77 225 333 
60      9       47      1 3 5 13 3 17 1 101 397 
61      9       52      1 3 5 11 27 53 115 87 47 
62      9       55      1 1 3 11 31 39 21 233 9 
63      9       59      1 1 3 15 17 19 73 147 351 
64      9       62      1 1 3 3 29 17 1 105 293 
65      9       67      1 1 3 15 9 21 103 239 433 
66      9       74      1 1 1 15 17 35 49 7 435 
67      9       81      1 3 7 3 9 51 91 177 255 
68      9       82      1 1 5 5 31 9 39 209 511 
69      9       87      1 1 7 3 11 11 19 227 343 
70      9       91      1 3 7 3 17 13 105 151 225 
71      9       94      1 1 7 11 29 35 105 11 497 
72      9       103     1 3 7 15 5 13 31 201 63 
73      9       104     1 1 5 7 17 31 9 63 167 
74      9       109     1 1 1 13 1 51 9 115 217 
75      9       122     1 1 7 15 23 49 125 163 39 
76      9       124     1 1 3 13 11 45 77 149 173 
77      9       137     1 3 3 3 7 27 43 27 361 
