d       s       a       m_i     
78      9       138     1 3 3 5 5 37 9 51 149 
79      9       143     1 1 1 15 13 13 49 251 385 
80      9       145     1 1 3 7 1 57 27 25 335 
81      9       152     1 3 3 9 31 55 41 143 97 
82      9       157     1 3 3 11 31 33 65 57 113 
83      9       167     1 1 5 13 19 63 5 71 317 
84      9       173     1 1 1 5 29 45 35 107 113 
85      9       176     1 1 3 7 3 31 81 57 439 
86      9       181     1 3 5 5 1 7 3 21 319 
87      9       182     1 3 1 15 27 49 25 247 455 
88      9       185     1 1 3 5 5 43 105 207 271 
89      9       191     1 3 3 7 29 63 25 239 165 
90      9       194     1 3 7 1 19 23 87 23 161 
91      9       199     1 3 7 5 27 1 15 113 85 
92      9       218     1 1 1 13 23 39 103 59 105 
93      9       220     1 3 1 15 9 35 65 225 385 
94      9       227     1 1 5 9 5 63 109 153 25 
95      9       229     1 3 7 11 5 41 103 103 245 
96      9       230     1 1 1 3 25 5 71 203 351 
97      9       234     1 1 5 5 27 49 111 253 265 
98      9       236     1 1 1 11 31 63 91 179 359 
99      9       241     1 3 7 1 9 41 117 69 141 
100     9       244     1 3 1 5 11 25 7 73 477 
101     9       253     1 1 3 1 31 7 51 67 97 
102     10      4       1 3 3 15 31 61 27 137 319 605 
103     10      13      1 3 5 7 29 45 31 211 287 13 
104     10      19      1 3 1 7 25 61 121 91 215 439 
105     10      22      1 1 3 11 31 51 31 151 421 195 
106     10      50      1 1 5 13 17 23 47 9 33 1003 
107     10      55      1 1 1 3 23 5 109 23 125 773 
108     10      64      1 3 5 9 7 41 33 81 277 623 
109     10      69      1 1 1 11 9 33 51 31 181 985 
110     10      98      1 1 7 11 3 37 3 107 405 639 
111     10      107     1 1 5 15 17 7 35 221 255 753 
112     10      115     1 1 7 3 31 11 113 105 275 683 
113     10      121     1 1 3 11 3 39 57 237 189 561 
114     10      127     1 3 3 7 17 37 55 97 499 511 
115     10      134     1 1 7 11 31 27 21 241 127 279 
116     10      140     1 3 1 7 1 19 95 3 511 143 
117     10      145     1 3 5 3 21 39 115 155 67 607 
118     10      152     1 1 7 7 25 37 33 149 89 997 
119     10      158     1 3 1 7 3 7 113 165 235 943 
120     10      161     1 3 7 9 29 5 93 255 323 555 
121     10      171     1 1 1 3 13 45 89 87 29 23 
122     10      181     1 3 3 11 11 29 75 91 211 459 
123     10      194     1 3 5 15 11 43 105 1 227 711 
124     10      199     1 1 5 5 13 33 29 217 511 241 
125     10      203     1 3 7 9 1 47 125 151 375 815 
126     10      208     1 1 1 3 25 29 5 39 133 585 
127     10      227     1 1 5 9 9 31 79 227 395 517 
128     10      242     1 3 3 3 15 3 47 159 233 339 
129     10      251     1 3 5 3 15 13 79 109 187 249 
130     10      253     1 3 1 15 23 39 85 157 323 535 
131     10      265     1 1 1 5 11 25 5 153 19 779 
132     10      266     1 3 5 1 9 43 27 179 407 167 
133     10      274     1 3 5 5 25 47 21 23 57 415 
134     10      283     1 1 1 7 3 29 45 195 349 267 
135     10      289     1 3 5 3 19 13 61 243 125 961 
136     10      295     1 3 7 3 29 49 7 197 387 747 
137     10      301     1 3 7 11 31 31 109 87 345 807 
138     10      316     1 3 1 3 21 57 43 207 221 85 
139     10      319     1 1 3 13 19 19 41 19 509 419 
140     10      324     1 1 3 3 23 17 85 99 421 875 
141     10      346     1 3 1 15 27 43 89 151 39 643 
142     10      352     1 1 1 5 3 59 25 79 319 959 
143     10      361     1 3 5 9 3 27 71 209 195 569 
144     10      367     1 3 3 3 11 47 67 1 221 119 
145     10      382     1 1 5 11 11 39 95 29 7 957 
146     10      395     1 1 7 13 13 57 47 71 165 393 
147     10      398     1 3 5 3 5 47 127 209 377 53 
148     10      400     1 3 1 5 13 51 69 165 477 961 
149     10      412     1 3 5 9 25 37 5 133 117 29 
150     10      419     1 1 1 9 7 21 95 53 205 805 
151     10      422     1 1 5 11 25 39 25 15 497 525 
152     10      426     1 3 5 5 15 37 33 255 97 341 
153     10      428     1 3 1 13 31 63 35 203 415 903 
154     10      433     1 1 5 7 13 59 55 17 103 221 
155     10      446     1 1 5 3 7 37 113 139 269 987 
156     10      454     1 3 3 7 21 3 47 175 327 633 
157     10      457     1 1 1 3 13 61 19 209 39 695 
158     10      472     1 1 1 9 31 61 21 75 445 647 
159     10      493     1 1 5 3 21 1 65 211 405 629 
160     10      505     1 3 7 15 9 25 119 13 465 865 
161     10      508     1 3 1 15 29 19 103 39 37 289 
162     11      2       1 1 1 5 25 23 21 111 455 665 1609 
163     11      11      1 3 3 13 27 29 45 191 385 413 1875 
164     11      21      1 3 7 7 19 17 47 231 337 781 1235 
165     11      22      1 1 5 7 7 25 99 239 501 29 159 
166     11      35      1 1 1 3 5 19 101 147 225 353 1117 
167     11      49      1 3 7 11 17 57 45 73 219 853 1379 
168     11      50      1 3 3 7 11 47 23 67 157 283 867 
169     11      56      1 1 7 7 23 55 71 155 237 927 929 
170     11      61      1 3 3 15 11 19 59 147 373 619 53 
171     11      70      1 1 3 15 13 23 11 33 45 121 241 
172     11      74      1 1 1 9 13 29 3 131 373 91 1207 
173     11      79      1 1 1 15 21 29 59 197 375 637 1275 
174     11      84      1 1 3 11 27 31 87 95 119 249 1913 
175     11      88      1 3 1 5 25 51 1 241 53 883 61 
176     11      103     1 3 1 5 23 37 83 45 287 911 717 
177     11      104     1 3 1 3 9 39 105 129 475 399 1783 
178     11      112     1 3 5 5 23 11 119 205 317 797 605 
179     11      115     1 1 7 5 13 57 19 225 53 987 1463 
180     11      117     1 3 5 11 3 59 1 201 97 1011 1059 
181     11      122     1 3 3 9 29 51 39 199 243 877 883 
182     11      134     1 1 3 5 29 13 97 15 387 435 701 
183     11      137     1 3 3 11 21 41 3 119 385 503 2015 
184     11      146     1 3 3 1 17 9 49 13 309 29 1501 
185     11      148     1 3 1 3 13 29 91 51 225 989 1701 
186     11      157     1 1 7 13 1 55 59 243 399 65 1725 
187     11      158     1 3 7 7 19 29 97 161 195 257 1595 
188     11      162     1 3 7 15 29 49 49 23 157 363 1355 
189     11      164     1 3 1 13 23 39 45 73 147 323 1965 
190     11      168     1 3 1 15 17 27 17 19 371 387 395 
191     11      173     1 1 1 9 19 39 31 3 291 379 605 
192     11      185     1 1 7 1 15 17 47 133 485 145 629 
193     11      186     1 1 1 13 11 11 117 233 85 1 1357 
194     11      191     1 1 7 15 19 51 115 19 333 683 917 
195     11      193     1 3 7 9 27 47 17 209 461 261 761 
196     11      199     1 1 3 1 27 15 43 141 291 363 605 
197     11      213     1 3 7 5 1 3 43 75 115 653 847 
198     11      214     1 1 3 1 11 51 69 119 195 979 1543 
199     11      220     1 1 7 3 11 29 29 59 339 273 855 
200     11      227     1 1 1 1 11 15 59 97 267 647 2037 
201     11      236     1 1 5 3 25 43 41 195 457 155 1707 
202     11      242     1 3 3 15 11 47 43 15 505 761 1259 
203     11      251     1 3 5 15 27 29 55 109 187 545 1177 
204     11      256     1 3 1 5 29 25 89 11 75 771 1437 
205     11      259     1 3 5 11 19 17 27 59 231 35 391 
206     11      265     1 1 7 9 3 17 31 81 317 973 1913 
207     11      266     1 1 1 7 3 21 113 41 335 789 1195 
208     11      276     1 1 7 1 13 61 41 117 301 707 693 
209     11      292     1 1 1 7 3 1 79 145 137 307 205 
210     11      304     1 3 7 1 27 49 83 127 265 669 87 
211     11      310     1 1 3 15 21 31 115 115 343 55 1049 
212     11      316     1 1 5 9 7 25 43 255 363 123 299 
213     11      319     1 3 5 13 1 9 79 245 91 233 1703 
214     11      322     1 3 5 1 17 39 81 147 147 335 819 
215     11      328     1 3 7 3 31 63 55 53 389 307 451 
216     11      334     1 1 7 7 23 41 125 147 323 7 1211 
217     11      339     1 1 1 13 23 9 35 177 165 315 1885 
218     11      341     1 3 3 7 11 39 99 197 405 377 555 
219     11      345     1 3 3 11 15 39 125 59 323 377 325 
220     11      346     1 3 5 9 7 45 75 143 265 161 1701 
221     11      362     1 1 7 5 31 21 35 1 511 585 923 
222     11      367     1 3 1 5 3 31 65 33 199 205 1673 
223     11      372     1 3 7 9 17 61 123 33 405 235 645 
224     11      375     1 3 3 15 27 1 35 165 509 681 621 
225     11      376     1 3 5 15 19 13 49 85 5 661 805 
226     11      381     1 3 7 3 3 51 77 167 461 731 1681 
227     11      385     1 1 3 5 21 51 125 65 41 613 1009 
228     11      388     1 3 7 11 17 39 127 31 423 87 1413 
229     11      392     1 3 1 5 11 41 25 49 169 637 1599 
230     11      409     1 3 5 13 31 27 75 65 391 857 1491 
231     11      415     1 1 1 13 5 61 65 183 373 161 235 
232     11      416     1 3 1 1 27 49 47 55 503 683 301 
233     11      421     1 1 7 11 17 31 113 255 281 341 2033 
234     11      428     1 3 3 13 27 27 27 225 161 187 485 
235     11      431     1 1 1 3 21 27 105 215 241 211 899 
236     11      434     1 3 5 5 11 37 1 7 335 221 757 
237     11      439     1 1 5 7 21 55 61 99 23 957 35 
238     11      446     1 3 5 5 13 53 31 121 111 47 1491 
239     11      451     1 1 5 13 17 5 11 179 357 1003 1179 
240     11      453     1 1 5 13 29 9 3 91 471 369 323 
241     11      457     1 3 7 5 7 25 109 43 133 261 1623 
242     11      458     1 3 7 15 13 33 125 81 491 331 1243 
243     11      471     1 3 3 11 15 21 57 63 55 341 1717 
244     11      475     1 3 1 1 31 13 67 89 459 879 863 
245     11      478     1 3 7 15 7 21 117 229 467 227 1463 
246     11      484     1 1 1 7 23 43 53 79 3 905 1049 
247     11      493     1 3 7 1 19 1 61 15 377 579 145 
248     11      494     1 3 1 15 27 25 61 171 425 631 1343 
249     11      499     1 3 7 5 15 31 69 5 217 809 647 
250     11      502     1 1 5 3 5 35 101 21 33 757 559 
251     11      517     1 3 5 13 3 7 101 93 31 315 1897 
252     11      518     1 1 3 1 21 31 37 127 211 429 1019 
253     11      524     1 1 3 9 11 27 113 203 115 765 759 
254     11      527     1 1 3 13 7 21 89 99 469 729 683 
255     11      555     1 1 1 5 27 17 43 177 225 405 1929 
256     11      560     1 3 1 7 21 55 69 41 309 487 681 
257     11      565     1 3 5 11 19 21 61 163 337 61 301 
258     11      569     1 3 1 7 21 61 67 219 281 21 1271 
259     11      578     1 1 5 11 5 25 51 207 235 289 395 
260     11      580     1 1 3 3 17 61 5 179 457 941 1577 
261     11      587     1 1 7 7 17 23 127 35 407 545 169 
262     11      589     1 3 7 15 21 19 123 145 97 263 1881 
263     11      590     1 3 7 11 25 49 117 165 79 137 1311 
264     11      601     1 3 1 11 3 17 9 177 367 863 1255 
265     11      607     1 1 5 13 9 1 31 3 69 1009 1091 
266     11      611     1 3 7 15 25 41 13 3 319 131 493 
267     11      614     1 1 1 15 9 45 25 21 405 61 1167 
268     11      617     1 1 1 1 31 3 95 113 475 209 1473 
269     11      618     1 1 5 5 27 9 95 121 193 481 1785 
270     11      625     1 1 3 13 1 13 57 167 273 491 867 
271     11      628     1 1 7 1 9 27 123 65 407 609 1979 
272     11      635     1 3 1 15 5 5 89 17 207 249 1725 
273     11      641     1 3 5 11 11 15 91 33 113 531 831 
274     11      647     1 1 5 9 27 51 17 141 215 171 455 
275     11      654     1 1 5 9 11 25 115 5 173 209 1455 
276     11      659     1 1 7 7 13 51 21 79 357 423 1855 
277     11      662     1 1 7 1 13 37 123 27 477 1023 1235 
278     11      672     1 1 7 13 25 43 123 41 199 779 1691 
279     11      675     1 3 3 9 7 27 81 147 465 135 829 
280     11      682     1 1 7 11 17 5 25 177 377 629 915 
281     11      684     1 1 3 15 11 19 45 229 409 187 507 
282     11      689     1 1 7 5 7 49 21 49 395 185 391 
283     11      695     1 3 1 1 1 37 123 255 223 473 1011 
284     11      696     1 3 3 13 3 7 113 183 457 561 1427 
285     11      713     1 1 1 11 27 39 125 241 279 905 1907 
286     11      719     1 3 1 15 19 19 9 233 39 701 939 
287     11      724     1 3 5 11 15 51 1 25 461 671 611 
288     11      733     1 3 1 3 23 39 23 191 219 911 1247 
289     11      734     1 3 1 3 1 27 91 97 55 863 805 
290     11      740     1 3 7 7 5 63 81 33 383 645 841 
291     11      747     1 3 7 5 27 39 33 25 185 799 1109 
292     11      749     1 3 1 11 11 61 109 209 345 465 935 
293     11      752     1 3 5 13 19 55 117 237 455 953 905 
294     11      755     1 3 7 9 9 25 77 37 111 357 131 
295     11      762     1 1 3 13 1 51 27 235 349 517 653 
296     11      770     1 3 7 3 27 43 23 129 455 431 1999 
297     11      782     1 3 7 13 11 3 19 55 261 217 535 
298     11      784     1 3 7 7 23 53 33 237 73 421 1439 
299     11      787     1 1 5 5 19 7 9 201 339 33 2019 
300     11      789     1 3 5 7 1 3 9 79 265 125 1063 
301     11      793     1 1 7 11 31 61 83 71 93 393 851 
302     11      796     1 3 1 13 13 45 65 89 87 657 1635 
303     11      803     1 3 5 7 21 3 27 251 287 305 1143 
304     11      805     1 1 3 13 5 45 35 89 61 347 1349 
305     11      810     1 1 7 1 7 61 19 33 11 845 839 
306     11      815     1 3 5 15 3 1 127 245 423 57 865 
307     11      824     1 3 5 7 31 33 53 109 397 705 307 
308     11      829     1 3 7 7 11 51 53 75 325 61 2035 
309     11      830     1 3 3 9 23 37 63 115 377 741 1181 
310     11      832     1 1 1 13 13 7 77 171 129 615 157 
311     11      841     1 1 5 5 9 41 59 215 275 969 31 
312     11      847     1 1 3 1 27 1 33 111 459 503 1703 
313     11      849     1 3 3 9 11 41 27 213 67 203 497 
314     11      861     1 3 3 3 1 35 39 69 457 765 903 
315     11      871     1 3 5 11 11 31 31 195 481 831 1727 
316     11      878     1 3 1 1 9 39 11 179 241 945 439 
317     11      889     1 1 5 13 1 29 37 113 193 229 1639 
318     11      892     1 3 5 7 9 27 75 105 449 631 2025 
319     11      901     1 3 7 11 7 9 73 201 273 915 729 
320     11      908     1 3 3 15 3 41 61 5 475 193 699 
321     11      920     1 1 3 3 13 57 51 201 313 877 507 
322     11      923     1 1 7 9 7 3 73 103 113 719 1747 
323     11      942     1 1 7 1 1 25 77 249 185 583 123 
324     11      949     1 1 5 11 25 49 17 45 161 647 1685 
325     11      950     1 3 1 15 15 49 35 59 47 523 1961 
326     11      954     1 1 5 5 19 11 105 33 333 451 45 
327     11      961     1 3 1 7 21 1 1 15 465 731 447 
328     11      968     1 3 5 7 3 9 31 205 479 921 1705 
329     11      971     1 1 7 13 7 29 55 1 293 135 1459 
330     11      973     1 1 7 5 19 17 7 217 133 959 811 
331     11      979     1 1 1 15 3 37 55 223 253 535 1039 
332     11      982     1 3 7 3 19 47 125 117 473 257 1215 
333     11      986     1 1 3 5 5 1 87 95 189 431 1355 
334     11      998     1 1 5 11 17 5 63 15 153 325 259 
335     11      1001    1 1 3 11 9 41 101 21 161 653 1091 
336     11      1010    1 3 3 13 5 19 37 223 469 953 15 
337     11      1012    1 1 1 5 3 33 7 63 111 685 381 
338     12      41      1 1 3 11 31 27 49 119 277 303 1719 909 
339     12      52      1 3 1 11 27 13 9 107 251 759 1641 2177 
340     12      61      1 3 3 3 3 57 33 169 239 357 1519 997 
341     12      62      1 3 3 3 11 29 53 109 411 775 1647 819 
342     12      76      1 1 5 13 9 3 15 219 483 513 1319 965 
343     12      104     1 1 1 5 3 41 9 53 303 349 1071 681 
344     12      117     1 3 5 15 27 15 107 211 317 283 1317 2661 
345     12      131     1 3 3 1 13 41 29 17 91 985 327 1637 
346     12      143     1 1 3 15 27 3 127 233 177 877 1467 3951 
347     12      145     1 3 1 5 1 51 5 195 501 859 905 3163 
348     12      157     1 1 1 5 1 25 5 205 65 435 1645 4013 
349     12      167     1 3 5 13 29 57 101 59 289 701 1363 961 
350     12      171     1 3 7 5 1 61 33 117 311 395 1531 2491 
351     12      176     1 1 1 1 5 35 15 59 201 195 1423 2195 
352     12      181     1 1 7 7 13 29 37 109 481 573 1347 3335 
353     12      194     1 1 5 5 25 1 63 53 419 475 1527 3327 
354     12      217     1 1 3 1 27 55 75 225 379 471 211 1655 
355     12      236     1 1 7 15 13 61 111 95 457 801 1865 2529 
356     12      239     1 3 5 5 21 3 31 97 3 495 1953 145 
357     12      262     1 3 3 5 13 27 31 143 133 357 1975 1077 
358     12      283     1 3 3 15 19 19 23 221 9 783 1403 4003 
359     12      286     1 3 7 3 5 53 63 35 209 221 1517 1915 
360     12      307     1 3 3 11 27 21 53 95 359 925 1035 3093 
361     12      313     1 1 3 9 9 13 25 125 101 119 1361 3503 
362     12      319     1 3 7 11 19 43 125 95 113 373 655 1001 
363     12      348     1 1 3 15 3 29 125 5 287 859 567 3451 
364     12      352     1 3 1 1 7 21 67 249 487 663 2041 799 
365     12      357     1 1 3 9 9 29 11 229 303 821 1187 287 
366     12      391     1 1 5 11 25 19 77 93 209 155 1717 4085 
367     12      398     1 1 3 3 23 39 5 29 295 757 1185 817 
368     12      400     1 3 7 7 27 25 33 73 489 543 2011 447 
369     12      412     1 3 1 5 21 59 107 109 415 599 325 1457 
370     12      415     1 3 1 5 27 61 45 129 37 923 285 2077 
371     12      422     1 1 1 3 11 11 17 157 289 575 749 2463 
372     12      440     1 1 3 7 25 1 19 177 361 831 911 1833 
373     12      460     1 3 7 7 25 27 11 105 489 399 483 1287 
374     12      465     1 3 7 11 3 49 27 63 33 991 341 2239 
375     12      468     1 3 1 5 3 49 23 23 157 145 1709 1459 
376     12      515     1 1 5 9 29 29 5 239 201 503 229 1943 
377     12      536     1 3 7 3 5 39 43 127 239 679 1225 2123 
378     12      539     1 1 7 11 13 17 125 253 223 67 1319 4019 
379     12      551     1 3 3 3 7 57 71 131 205 953 915 1349 
380     12      558     1 1 1 7 1 59 77 221 227 67 1853 2577 
381     12      563     1 1 7 11 31 15 103 51 505 403 1947 1915 
382     12      570     1 3 3 3 15 7 41 179 265 787 1249 3663 
383     12      595     1 3 1 11 27 53 123 95 427 877 471 2167 
384     12      598     1 1 1 9 25 7 31 47 21 299 1397 1119 
385     12      617     1 3 3 9 15 49 9 255 19 995 837 2323 
386     12      647     1 1 7 3 31 45 35 93 179 561 1737 3969 
387     12      654     1 1 1 5 7 59 27 71 9 411 59 1783 
388     12      678     1 3 3 7 27 17 43 37 505 893 709 3163 
389     12      713     1 1 5 7 7 59 47 119 39 153 259 1409 
390     12      738     1 3 5 1 21 29 23 153 309 137 1015 1527 
391     12      747     1 1 5 15 15 27 41 15 135 707 481 2429 
392     12      750     1 1 7 13 1 17 95 131 497 873 193 1683 
393     12      757     1 1 1 13 29 39 55 51 163 581 1867 2219 
394     12      772     1 1 7 3 21 29 9 111 503 7 89 3431 
395     12      803     1 3 7 9 13 45 61 239 61 969 77 4053 
396     12      810     1 1 7 11 13 29 79 39 361 635 1867 3051 
397     12      812     1 3 7 3 29 11 81 193 469 365 17 3657 
398     12      850     1 3 3 15 13 45 69 181 95 315 1025 1935 
399     12      862     1 1 5 15 31 61 97 117 207 409 69 187 
400     12      906     1 1 5 9 27 59 123 157 409 999 905 1097 
401     12      908     1 1 7 1 1 51 99 143 255 817 179 3317 
402     12      929     1 1 1 1 23 15 117 139 245 865 1723 3501 
403     12      930     1 1 5 15 25 53 9 207 291 137 291 653 
404     12      954     1 1 3 9 9 63 55 147 199 455 2047 2903 
405     12      964     1 1 5 15 29 55 85 13 117 479 1371 2939 
406     12      982     1 3 3 5 17 15 33 83 359 469 463 491 
407     12      985     1 1 3 5 23 39 35 83 387 891 789 1469 
408     12      991     1 3 7 9 27 49 41 49 207 39 25 2355 
409     12      992     1 3 5 1 5 7 29 233 169 827 1631 2263 
410     12      1067    1 1 1 1 1 13 97 109 255 449 345 2533 
411     12      1070    1 3 1 5 3 15 77 217 237 57 1711 725 
412     12      1096    1 3 3 7 9 49 93 213 487 811 1659 3019 
413     12      1099    1 1 1 7 7 9 57 223 263 9 443 1103 
414     12      1116    1 1 5 11 21 11 83 239 347 489 983 677 
415     12      1143    1 1 1 11 9 29 25 105 391 1001 1807 1041 
416     12      1165    1 3 3 1 11 21 89 85 259 237 1489 3825 
417     12      1178    1 3 5 5 1 21 53 127 269 741 529 1649 
418     12      1184    1 3 1 7 3 35 71 65 21 985 111 2199 
419     12      1202    1 1 5 13 3 39 33 151 95 655 1805 1545 
420     12      1213    1 3 1 11 17 53 63 171 275 649 1791 3309 
421     12      1221    1 1 7 1 3 5 63 241 77 677 1713 1643 
422     12      1240    1 3 3 3 9 25 7 33 277 837 1235 3289 
423     12      1246    1 3 3 1 27 13 97 79 145 197 1237 1689 
424     12      1252    1 3 5 7 27 45 71 165 405 251 383 737 
425     12      1255    1 3 7 1 13 21 107 7 207 329 1671 2053 
426     12      1267    1 3 7 1 31 33 25 223 37 693 1831 2249 
427     12      1293    1 3 3 15 5 53 111 11 317 819 1345 401 
428     12      1301    1 3 1 9 7 61 35 127 453 565 37 17 
429     12      1305    1 3 1 1 15 3 37 133 339 181 377 2339 
430     12      1332    1 3 7 3 27 57 27 23 45 219 455 2821 
431     12      1349    1 3 7 9 3 43 79 67 15 797 129 1233 
432     12      1384    1 3 5 11 5 45 123 161 355 447 1165 2437 
433     12      1392    1 3 7 1 3 59 65 109 253 447 649 379 
434     12      1402    1 3 1 5 21 23 45 47 213 813 1475 1271 
435     12      1413    1 1 1 7 9 31 91 47 161 535 1529 881 
436     12      1417    1 1 5 13 1 25 85 107 59 487 221 51 
437     12      1423    1 1 1 1 1 55 93 95 267 157 1255 2115 
438     12      1451    1 3 1 11 23 55 29 187 261 139 515 2627 
439     12      1480    1 3 3 13 31 3 121 245 475 67 195 979 
440     12      1491    1 1 3 7 25 13 79 129 475 177 1519 1069 
441     12      1503    1 3 3 9 17 23 83 191 133 901 1161 1657 
442     12      1504    1 3 7 15 23 61 111 135 107 27 583 225 
443     12      1513    1 1 5 1 17 11 31 197 111 953 1227 3737 
444     12      1538    1 1 3 9 19 25 83 97 489 781 1591 2061 
445     12      1544    1 1 1 1 9 61 31 93 39 53 1613 3371 
446     12      1547    1 1 1 7 3 5 103 247 255 333 31 3087 
447     12      1555    1 1 7 7 17 35 51 153 363 897 395 1153 
448     12      1574    1 3 7 9 3 59 127 177 191 255 1543 503 
449     12      1603    1 1 7 3 1 7 81 199 411 565 1717 615 
450     12      1615    1 1 1 11 17 35 35 245 507 439 523 2343 
451     12      1618    1 1 7 15 13 61 31 99 241 605 1575 1321 
452     12      1629    1 3 1 5 15 31 45 89 193 905 691 3917 
453     12      1634    1 3 3 9 29 31 101 151 187 199 1543 3951 
454     12      1636    1 1 7 9 21 45 71 19 395 175 503 3759 
455     12      1639    1 3 7 7 17 31 47 7 135 719 567 1447 
456     12      1657    1 3 3 9 1 39 1 53 5 553 371 3833 
457     12      1667    1 1 1 11 1 33 97 209 377 187 1683 143 
458     12      1681    1 1 1 3 29 33 111 35 343 511 273 445 
459     12      1697    1 1 1 15 15 63 73 1 111 775 665 2737 
460     12      1704    1 1 1 9 29 23 127 77 33 131 1055 2351 
461     12      1709    1 3 5 7 31 53 117 57 287 221 1099 1147 
462     12      1722    1 3 7 15 3 17 15 177 189 379 179 1095 
463     12      1730    1 3 1 15 25 19 43 113 123 123 877 1869 
464     12      1732    1 3 1 1 13 63 1 83 197 215 1005 3531 
465     12      1802    1 3 7 1 27 25 111 199 239 909 485 3399 
466     12      1804    1 1 7 3 19 57 43 75 163 111 359 1987 
467     12      1815    1 1 3 7 11 63 79 235 197 757 293 3795 
468     12      1826    1 3 5 9 13 55 49 29 133 949 1185 905 
469     12      1832    1 1 7 1 15 51 13 223 243 831 845 2663 
470     12      1843    1 1 3 11 25 21 65 57 483 665 741 2713 
471     12      1849    1 3 5 3 21 3 81 57 133 553 683 425 
472     12      1863    1 1 5 11 31 29 59 189 399 751 651 4093 
473     12      1905    1 3 3 7 13 59 19 217 267 355 173 4051 
474     12      1928    1 1 5 9 23 49 57 145 77 591 1913 779 
475     12      1933    1 3 7 3 25 1 83 103 393 121 1415 1503 
476     12      1939    1 1 7 9 23 41 35 157 63 293 1911 2303 
477     12      1976    1 3 5 15 7 3 9 1 201 913 1275 3495 
478     12      1996    1 1 7 11 15 5 107 57 53 451 351 2621 
479     12      2013    1 3 7 15 23 25 97 29 111 531 1979 2115 
480     12      2014    1 1 1 1 19 11 49 229 355 195 2033 1701 
481     12      2020    1 3 3 3 15 35 17 13 425 285 965 159 
482     13      13      1 3 1 11 11 11 1 145 365 471 1527 2309 5863 
483     13      19      1 1 3 9 21 59 35 123 91 741 527 2061 5505 
484     13      26      1 3 7 9 9 37 75 171 75 943 443 201 4861 
485     13      41      1 1 7 13 23 49 67 103 453 643 1117 1621 7135 
486     13      50      1 3 1 7 15 43 113 17 277 301 349 1155 5285 
