d       s       a       m_i     
486     13      50      1 1 5 7 23 15 119 245 223 773 1261 1623 8067 
487     13      55      1 1 1 15 3 39 39 11 141 347 1473 3503 3595 
488     13      69      1 1 1 5 27 15 81 159 279 907 143 3195 7127 
489     13      70      1 1 1 9 27 29 109 29 147 255 1851 677 2883 
490     13      79      1 1 5 1 1 23 3 107 9 757 319 949 3887 
491     13      82      1 1 7 1 13 41 21 9 53 179 1273 17 5195 
492     13      87      1 3 3 15 9 41 121 13 245 415 2041 3813 6807 
493     13      93      1 3 5 13 7 5 43 137 191 855 735 3711 2459 
494     13      94      1 3 3 13 15 53 13 245 217 159 271 261 7383 
495     13      97      1 3 1 9 1 39 79 73 349 367 51 155 53 
496     13      100     1 1 7 5 11 19 99 131 217 729 1481 4015 6109 
497     13      112     1 3 1 3 9 7 55 119 285 803 427 3755 3153 
498     13      121     1 1 7 13 25 3 111 51 1 995 657 1551 3633 
499     13      134     1 3 3 1 29 49 15 219 295 335 191 611 1151 
500     13      138     1 3 3 3 5 37 115 199 143 11 1487 3841 4669 
501     13      148     1 1 3 5 23 33 67 51 433 351 1467 2935 4135 
502     13      151     1 3 3 15 3 57 55 7 487 983 1481 799 6141 
503     13      157     1 3 5 3 23 1 37 117 131 55 449 637 693 
504     13      161     1 3 1 9 11 7 43 149 463 349 1773 643 765 
505     13      179     1 3 1 1 25 39 1 33 209 131 157 2695 623 
506     13      181     1 1 1 7 15 41 105 51 465 453 1091 905 4831 
507     13      188     1 3 7 9 1 39 45 117 481 481 87 1869 7063 
508     13      196     1 1 7 1 27 1 87 75 295 287 163 911 1725 
509     13      203     1 3 3 9 31 61 75 53 63 179 1941 555 1303 
510     13      206     1 3 3 9 31 37 9 51 381 639 595 731 7531 
511     13      223     1 3 1 1 3 25 59 19 187 235 173 893 4845 
512     13      224     1 1 7 7 1 23 9 9 493 643 53 179 6993 
513     13      227     1 1 1 1 25 55 81 63 67 967 957 1025 8033 
514     13      230     1 3 1 7 5 43 67 127 103 241 77 43 5173 
515     13      239     1 1 3 7 9 25 17 231 315 699 787 591 7257 
516     13      241     1 3 1 15 21 19 7 179 335 701 323 121 4733 
517     13      248     1 1 3 7 11 59 75 147 391 535 1841 3025 5621 
518     13      253     1 1 3 7 21 25 101 71 195 495 1241 2229 2865 
519     13      268     1 3 1 5 19 55 93 41 287 787 929 3161 4247 
520     13      274     1 3 3 11 25 31 79 225 189 187 595 465 7169 
521     13      283     1 1 3 13 25 37 7 87 511 451 1681 1911 5269 
522     13      286     1 3 3 13 21 31 117 73 391 127 1201 189 6621 
523     13      289     1 3 1 7 9 49 77 91 197 889 119 1335 4833 
524     13      301     1 1 7 3 11 61 103 19 345 937 1393 963 2283 
525     13      302     1 1 1 9 3 3 113 189 383 727 781 3515 5045 
526     13      316     1 1 7 15 27 45 65 137 5 185 1561 2063 761 
527     13      319     1 1 3 9 17 5 71 209 387 693 773 2105 1265 
528     13      324     1 1 3 11 9 49 53 53 7 5 543 1605 265 
529     13      331     1 3 3 3 23 21 27 187 495 101 517 853 2801 
530     13      333     1 3 5 1 7 61 47 113 375 307 255 3341 3663 
531     13      345     1 1 1 1 19 9 33 235 413 999 1889 3633 745 
532     13      351     1 1 1 7 27 27 19 57 1 639 831 3481 395 
533     13      358     1 3 3 5 19 55 27 215 319 855 1597 1539 4359 
534     13      375     1 3 7 11 3 35 5 3 341 795 315 935 2417 
535     13      379     1 1 1 3 25 55 53 143 361 203 863 2491 4701 
536     13      381     1 1 5 9 19 9 29 153 387 373 647 2825 1391 
537     13      386     1 1 3 9 1 37 103 17 347 577 181 2863 6525 
538     13      403     1 1 1 3 17 19 41 61 49 75 1243 33 7725 
539     13      405     1 3 1 9 7 23 107 227 225 139 451 1303 5657 
540     13      419     1 3 5 11 27 37 95 195 261 827 817 2555 8189 
541     13      426     1 3 1 11 13 17 73 113 287 73 977 2815 4281 
542     13      428     1 1 5 7 23 7 103 41 237 745 1645 2041 6063 
543     13      439     1 1 3 15 17 1 63 115 303 175 1511 3027 1265 
544     13      440     1 3 5 3 29 57 1 51 127 539 1171 3567 6409 
545     13      446     1 1 1 9 29 63 85 127 375 453 539 563 5709 
546     13      451     1 1 1 7 29 31 109 159 15 621 1593 3793 4503 
547     13      454     1 1 3 3 17 27 59 9 263 705 909 643 4967 
548     13      458     1 3 5 7 23 13 37 179 439 77 1055 3129 371 
549     13      465     1 3 1 11 25 1 123 109 27 393 1729 3597 5197 
550     13      468     1 3 5 11 15 9 25 19 1 927 39 925 87 
551     13      472     1 3 5 1 9 7 85 95 497 487 311 2109 259 
552     13      475     1 3 5 1 5 59 75 243 179 975 187 415 1161 
553     13      477     1 3 3 13 11 61 109 129 71 917 523 1189 4857 
554     13      496     1 3 1 1 3 57 15 79 265 839 559 729 2737 
555     13      502     1 1 7 9 21 45 69 245 331 197 1947 3145 6927 
556     13      508     1 3 7 7 31 41 73 59 93 565 1885 3803 7013 
557     13      517     1 1 1 13 23 19 107 77 449 965 99 1215 4699 
558     13      521     1 1 3 13 11 3 37 209 221 197 1913 631 1621 
559     13      527     1 1 5 9 27 51 61 249 269 507 1005 2471 4621 
560     13      530     1 3 5 1 3 49 69 227 289 261 1103 389 4883 
561     13      532     1 1 5 3 29 35 43 167 451 1017 865 1507 7387 
562     13      542     1 1 3 15 13 1 53 9 23 581 627 3823 6767 
563     13      552     1 3 1 7 3 21 115 73 353 725 1971 1623 7359 
564     13      555     1 1 3 5 17 15 37 219 187 699 1463 1563 2785 
565     13      560     1 3 7 13 11 43 9 49 125 681 499 2127 6613 
566     13      566     1 3 5 11 5 21 115 227 305 247 1947 853 5357 
567     13      575     1 3 1 9 29 37 1 181 427 435 1757 1535 4383 
568     13      577     1 3 1 15 15 41 123 7 367 767 777 3455 7739 
569     13      589     1 1 5 9 13 3 5 79 3 121 1113 1731 501 
570     13      590     1 1 3 13 1 13 127 215 329 381 205 2391 581 
571     13      602     1 1 3 7 7 19 9 23 463 455 1921 763 5077 
572     13      607     1 1 3 3 13 23 65 7 337 603 1243 2161 5883 
573     13      608     1 3 5 1 15 23 73 151 243 847 1189 1663 2011 
574     13      611     1 1 7 7 11 17 91 219 127 317 1807 1369 7433 
575     13      613     1 3 5 9 31 49 65 47 11 541 55 2743 4987 
576     13      625     1 3 7 13 23 23 51 129 111 319 1195 1593 4407 
577     13      644     1 3 1 7 21 25 35 187 409 981 293 873 7447 
578     13      651     1 3 1 9 3 11 25 75 347 907 1645 2997 5953 
579     13      654     1 3 7 7 25 49 99 37 45 81 95 2637 1337 
580     13      656     1 3 5 3 29 35 85 167 503 257 1101 2647 1469 
581     13      662     1 3 5 1 27 17 93 197 485 899 1201 3633 1289 
582     13      668     1 3 1 7 5 17 53 167 353 1023 1063 2221 3635 
583     13      681     1 1 5 11 9 43 123 241 77 657 1789 235 2105 
584     13      682     1 1 5 9 9 53 109 185 443 803 115 2079 7839 
585     13      689     1 1 1 13 29 29 35 235 253 529 153 1613 6723 
586     13      696     1 3 1 13 11 31 81 177 135 659 605 1253 5077 
587     13      699     1 3 5 3 25 53 87 183 285 639 657 2307 5477 
588     13      707     1 1 7 7 9 35 31 83 165 735 1445 3935 515 
589     13      709     1 3 5 1 13 59 99 191 187 375 959 1145 1487 
590     13      714     1 3 7 3 1 1 127 127 101 583 121 2879 63 
591     13      716     1 3 7 11 13 1 125 81 31 177 107 2339 755 
592     13      719     1 1 3 13 7 33 9 247 395 255 1817 1509 5401 
593     13      727     1 1 7 7 27 19 87 167 425 1019 1419 4025 5483 
594     13      734     1 3 7 7 5 49 97 65 355 207 323 2367 171 
595     13      738     1 3 7 5 23 5 125 131 115 585 1533 3489 507 
596     13      743     1 3 3 15 29 51 79 239 289 909 1339 857 1661 
597     13      747     1 3 5 11 23 1 65 123 439 349 1593 1913 433 
598     13      757     1 1 7 5 27 45 59 33 375 553 1955 731 4335 
599     13      769     1 1 3 7 25 63 51 183 67 783 885 3385 7109 
600     13      770     1 3 7 9 3 43 105 145 123 503 203 1029 6713 
601     13      776     1 3 7 7 11 49 113 69 489 649 1393 1475 6663 
602     13      790     1 1 5 11 13 5 105 21 451 137 2029 1459 7981 
603     13      799     1 1 7 5 7 17 3 213 255 867 89 2437 1151 
604     13      805     1 1 7 9 19 23 115 161 257 419 1133 1291 243 
605     13      809     1 3 5 7 27 45 23 157 371 219 1001 343 2419 
606     13      812     1 3 1 1 21 59 91 153 19 469 1923 2439 3837 
607     13      820     1 3 7 3 23 29 57 201 209 249 63 2929 2719 
608     13      827     1 1 5 3 11 3 75 91 157 557 1775 387 803 
609     13      829     1 3 3 3 27 57 69 135 317 897 1417 1853 747 
610     13      835     1 1 7 11 15 19 115 219 57 925 1869 609 1631 
611     13      841     1 1 1 11 29 21 45 19 91 271 971 2569 423 
612     13      844     1 3 3 13 5 9 5 101 147 777 1647 457 4053 
613     13      856     1 1 5 9 9 25 13 175 53 467 1555 2969 1669 
614     13      859     1 1 1 7 21 49 1 49 317 505 1495 1053 2293 
615     13      862     1 1 1 3 15 43 91 207 211 725 2039 803 4029 
616     13      865     1 1 7 13 17 45 39 125 129 169 47 2105 1749 
617     13      885     1 3 7 11 19 13 5 105 203 611 147 2291 1823 
618     13      890     1 1 5 1 5 15 15 35 33 467 59 2435 3141 
619     13      905     1 3 1 5 29 43 35 3 173 619 1595 347 2513 
620     13      916     1 3 3 1 23 37 3 123 301 403 1603 2345 1031 
621     13      925     1 3 5 9 23 55 23 19 497 501 99 1925 6243 
622     13      935     1 3 5 1 21 37 83 59 285 107 1909 3647 8041 
623     13      939     1 3 5 1 7 11 91 1 357 643 1319 2895 2193 
624     13      942     1 1 5 9 27 29 25 125 433 525 1511 585 5263 
625     13      949     1 3 1 11 13 49 79 37 165 923 749 2207 4673 
626     13      953     1 1 5 9 29 37 51 3 133 859 153 1199 2269 
627     13      956     1 1 7 5 9 57 101 231 383 245 1997 2661 6069 
628     13      961     1 1 7 7 25 61 25 185 247 509 1953 3309 4879 
629     13      968     1 1 3 7 19 61 95 105 355 219 103 249 579 
630     13      976     1 3 7 15 7 3 51 143 273 203 353 1587 2239 
631     13      988     1 3 3 9 27 47 123 185 337 183 983 2313 815 
632     13      995     1 1 5 15 19 19 3 199 247 151 1911 301 5311 
633     13      997     1 1 1 3 7 63 61 151 297 541 1457 2945 5703 
634     13      1007    1 3 7 5 31 1 109 179 197 109 695 2429 3483 
635     13      1015    1 3 7 1 27 25 27 113 455 655 1813 2341 4785 
636     13      1016    1 1 5 15 9 47 105 15 75 901 1539 2599 1013 
637     13      1027    1 3 1 11 17 17 29 219 121 383 1575 3153 6151 
638     13      1036    1 1 1 3 29 51 35 95 89 279 1255 2967 455 
639     13      1039    1 3 5 15 3 3 15 181 91 169 1703 777 6539 
640     13      1041    1 1 3 13 15 29 115 225 179 271 737 2425 3149 
641     13      1048    1 3 7 3 13 29 1 169 35 145 725 3679 2593 
642     13      1053    1 1 7 9 11 1 51 65 283 791 449 1387 7347 
643     13      1054    1 3 1 13 21 23 79 207 425 839 737 243 6761 
644     13      1058    1 3 3 5 11 25 93 119 245 539 405 1925 1595 
645     13      1075    1 3 7 15 5 19 97 225 471 801 379 923 1961 
646     13      1082    1 3 7 15 25 49 41 237 11 983 1889 3947 2579 
647     13      1090    1 3 5 13 3 39 51 131 477 699 1101 1289 7683 
648     13      1109    1 1 7 1 23 39 99 167 53 333 1059 2947 2097 
649     13      1110    1 1 5 15 9 55 33 121 485 767 793 1015 7657 
650     13      1119    1 1 7 13 15 57 5 39 197 67 1471 841 1797 
651     13      1126    1 3 5 3 15 17 11 139 21 827 465 1341 1115 
652     13      1130    1 3 7 11 7 3 29 107 79 19 493 1705 4631 
653     13      1135    1 1 7 1 9 61 79 23 83 863 1189 2653 2139 
654     13      1137    1 1 7 7 7 39 105 147 293 799 781 1085 1405 
655     13      1140    1 3 3 13 27 55 89 73 255 845 485 739 4937 
656     13      1149    1 3 1 5 19 41 93 125 203 789 1447 189 4743 
657     13      1156    1 3 3 11 9 9 51 237 353 313 101 873 5605 
658     13      1159    1 3 1 5 1 33 67 29 361 945 5 305 1461 
659     13      1160    1 1 7 3 5 31 47 145 369 419 415 2645 4665 
660     13      1165    1 1 1 1 9 35 3 67 233 991 1683 1145 6283 
661     13      1173    1 1 1 7 13 43 95 141 415 219 1877 2763 3975 
662     13      1178    1 1 3 9 25 1 125 139 31 791 2033 2477 297 
663     13      1183    1 1 3 7 13 53 29 53 341 905 1953 593 3121 
664     13      1184    1 3 3 5 21 45 97 231 377 117 1449 1159 1831 
665     13      1189    1 3 7 3 13 25 33 15 479 141 1101 1611 2145 
666     13      1194    1 3 5 13 19 33 85 215 107 273 1361 1103 3461 
667     13      1211    1 3 5 9 7 29 91 55 239 971 1389 301 6011 
668     13      1214    1 3 3 3 31 39 73 131 53 583 1387 3827 5621 
669     13      1216    1 1 7 1 21 47 39 99 95 915 1281 675 4147 
670     13      1225    1 3 7 13 19 17 121 151 163 447 1741 2563 957 
671     13      1231    1 3 1 11 19 19 9 31 105 829 1957 3327 2923 
672     13      1239    1 1 1 1 29 49 67 135 165 203 691 4043 4973 
673     13      1243    1 3 3 15 17 57 53 123 311 169 1705 3853 3243 
674     13      1246    1 1 7 5 11 51 39 215 209 353 1857 369 1793 
675     13      1249    1 1 1 3 1 55 19 145 283 471 929 3207 5819 
676     13      1259    1 1 3 13 21 23 49 241 53 153 591 949 859 
677     13      1273    1 3 1 5 21 13 105 147 29 407 589 1659 5265 
678     13      1274    1 1 1 9 19 27 83 175 329 459 1401 2195 5997 
679     13      1281    1 1 5 1 29 39 33 73 363 143 617 1507 5871 
680     13      1287    1 1 1 7 29 23 19 51 331 299 1883 1973 1969 
681     13      1294    1 3 7 13 1 49 25 43 17 297 683 1189 6049 
682     13      1296    1 3 1 15 23 25 29 231 425 501 1787 3223 5789 
683     13      1305    1 3 7 1 1 3 23 231 377 485 1469 1089 1539 
684     13      1306    1 1 5 5 29 25 93 51 249 25 1355 23 2961 
685     13      1318    1 3 5 13 11 55 117 221 137 941 1127 735 4835 
686     13      1332    1 3 3 15 5 53 35 245 31 985 2035 163 5223 
687     13      1335    1 1 7 7 27 25 17 113 187 283 723 2703 4873 
688     13      1336    1 1 1 1 3 61 81 125 335 997 975 2371 1829 
689     13      1341    1 3 1 15 21 9 67 55 109 657 837 1737 5147 
690     13      1342    1 1 3 3 19 41 117 39 441 985 955 1467 7297 
691     13      1362    1 1 7 7 23 1 11 11 221 539 1807 1887 7921 
692     13      1364    1 3 3 1 27 45 73 39 217 233 2015 1209 7101 
693     13      1368    1 3 1 11 19 57 85 45 395 23 405 2723 653 
694     13      1378    1 1 5 15 3 43 95 149 395 359 1067 3571 6219 
695     13      1387    1 1 5 5 15 3 33 181 427 565 103 261 2375 
696     13      1389    1 3 3 15 1 3 89 239 461 675 1149 819 3481 
697     13      1397    1 1 5 9 23 57 1 147 245 941 1425 2403 7915 
698     13      1401    1 3 1 13 3 25 43 205 295 799 1845 2695 3183 
699     13      1408    1 3 1 15 11 19 111 83 479 927 709 2739 1233 
700     13      1418    1 3 7 13 25 41 49 39 63 265 717 3843 3091 
701     13      1425    1 3 1 5 27 11 55 31 103 263 759 1969 1301 
702     13      1426    1 1 7 15 15 33 61 93 177 645 387 3999 4511 
703     13      1431    1 1 7 9 5 43 87 125 443 825 1423 1575 2661 
704     13      1435    1 3 1 5 3 59 59 91 63 805 1461 4009 4235 
705     13      1441    1 1 3 7 15 13 95 179 479 735 1075 4089 4807 
706     13      1444    1 3 1 3 23 63 63 77 299 939 661 1007 3299 
707     13      1462    1 1 5 3 7 49 1 217 87 561 275 3137 4355 
708     13      1471    1 3 5 9 21 25 49 199 207 513 231 3053 8023 
709     13      1474    1 1 5 1 19 39 79 225 213 719 577 3885 7151 
710     13      1483    1 3 1 7 9 7 9 63 185 877 253 1401 7665 
711     13      1485    1 1 7 15 7 9 33 79 241 727 681 2195 5285 
712     13      1494    1 3 3 9 21 27 9 17 277 365 1497 2323 1215 
713     13      1497    1 1 3 3 29 23 63 209 487 243 1137 45 3949 
714     13      1516    1 1 1 15 1 33 29 245 25 497 809 4017 2149 
715     13      1522    1 3 3 3 25 11 117 129 23 547 175 463 2731 
716     13      1534    1 3 3 3 5 47 69 197 131 101 1003 1573 3629 
717     13      1543    1 1 1 9 7 33 63 53 159 1009 963 203 3395 
718     13      1552    1 3 1 1 9 11 95 73 359 357 421 1169 7317 
719     13      1557    1 3 5 15 27 57 105 109 457 161 901 2239 2143 
720     13      1558    1 1 3 7 7 61 11 211 7 515 895 1341 2603 
721     13      1567    1 3 3 3 7 15 67 237 5 345 1631 923 4269 
722     13      1568    1 1 1 15 15 27 73 7 359 49 381 2415 1979 
723     13      1574    1 3 7 7 15 33 1 39 19 171 93 1815 2675 
724     13      1592    1 3 7 9 13 37 85 75 395 767 1855 3413 1845 
725     13      1605    1 3 5 15 7 59 33 235 455 21 237 3103 6065 
726     13      1606    1 1 3 3 29 9 67 173 303 9 1899 3799 63 
727     13      1610    1 1 3 5 15 53 13 149 45 223 823 1351 4517 
728     13      1617    1 3 3 15 21 59 81 185 245 589 1149 3351 4879 
729     13      1623    1 1 1 1 11 29 17 57 199 941 1497 227 6271 
730     13      1630    1 3 5 7 13 35 97 247 439 687 1821 1583 5919 
731     13      1634    1 1 3 7 27 25 123 129 15 497 1491 171 6369 
732     13      1640    1 3 1 1 25 27 63 27 261 707 579 2599 5925 
733     13      1643    1 1 3 9 9 39 63 141 293 601 573 445 1003 
734     13      1648    1 3 3 15 7 25 21 189 137 13 1923 1019 7219 
735     13      1651    1 3 5 9 27 45 13 251 403 781 2009 239 4777 
736     13      1653    1 1 5 3 21 35 93 89 249 473 1241 2485 291 
737     13      1670    1 3 7 15 5 53 45 213 41 393 529 599 4993 
738     13      1676    1 3 7 5 29 29 9 163 27 617 2015 117 6065 
739     13      1684    1 1 7 3 9 19 31 67 395 1003 1907 1165 3375 
740     13      1687    1 1 7 1 1 37 41 131 397 181 481 2691 6519 
741     13      1691    1 3 5 3 9 31 127 145 435 149 597 3611 7715 
742     13      1693    1 1 3 9 27 33 37 165 167 699 1313 3599 827 
743     13      1698    1 1 1 9 15 3 21 123 319 1009 901 819 823 
744     13      1709    1 1 7 9 29 27 101 33 341 449 607 2807 5553 
745     13      1715    1 3 5 3 21 25 41 105 255 339 1971 175 47 
746     13      1722    1 1 3 5 5 3 21 73 111 293 1283 2531 7609 
747     13      1732    1 3 7 3 29 47 83 165 249 281 175 1043 4143 
748     13      1735    1 3 1 15 27 59 3 101 343 813 1559 553 7801 
749     13      1747    1 1 7 15 1 9 77 205 151 255 701 2653 2079 
750     13      1749    1 3 3 3 13 39 37 161 499 657 1557 3969 3489 
751     13      1754    1 1 1 15 9 27 41 253 119 583 73 3255 6067 
752     13      1777    1 1 7 7 27 43 53 99 245 169 659 81 2943 
753     13      1784    1 1 1 11 27 13 41 217 493 145 835 3745 97 
754     13      1790    1 3 1 9 7 13 117 113 197 503 953 2433 7663 
755     13      1795    1 3 5 5 9 47 101 47 187 469 69 4031 6231 
756     13      1801    1 1 1 3 27 27 47 219 11 201 1267 2703 6711 
757     13      1802    1 3 7 7 27 27 97 101 7 541 105 3821 7533 
758     13      1812    1 3 5 13 21 17 99 213 347 595 519 1113 5427 
759     13      1828    1 1 7 13 31 1 25 111 387 27 99 119 3265 
760     13      1831    1 1 7 15 11 43 19 177 11 943 3 623 4223 
761     13      1837    1 3 7 3 31 59 21 241 375 703 1465 2375 2853 
762     13      1838    1 1 7 15 1 49 51 161 397 583 913 985 5519 
763     13      1840    1 3 1 3 13 37 23 165 223 427 129 1553 4145 
764     13      1845    1 3 3 3 1 23 47 237 371 315 1631 2037 61 
765     13      1863    1 3 5 15 23 59 71 237 487 443 1475 3065 2453 
766     13      1864    1 1 3 13 25 57 71 3 247 145 2011 553 7565 
767     13      1867    1 1 1 9 21 1 61 91 3 807 1795 2665 473 
768     13      1870    1 3 7 11 9 7 123 233 249 825 1505 3599 6653 
769     13      1877    1 1 3 15 11 37 119 63 233 541 1373 765 4913 
770     13      1881    1 1 1 9 5 15 77 65 321 613 1857 3699 1 
771     13      1884    1 3 1 15 13 37 123 9 105 121 893 1009 7871 
772     13      1903    1 3 5 1 23 61 29 223 209 605 409 875 5233 
773     13      1917    1 1 3 11 5 61 9 85 361 613 1555 2323 5119 
774     13      1918    1 1 1 1 17 49 67 191 247 873 1283 171 1689 
775     13      1922    1 3 3 13 17 17 45 73 175 243 97 315 1429 
776     13      1924    1 3 5 5 13 1 113 87 241 199 145 3823 5965 
777     13      1928    1 3 3 7 7 47 115 139 239 547 109 2251 6987 
778     13      1931    1 3 1 11 3 59 111 225 385 887 425 1879 4535 
779     13      1951    1 1 3 9 27 35 55 125 379 529 191 1657 2835 
780     13      1952    1 1 7 11 25 11 85 21 65 377 1989 1963 6985 
781     13      1957    1 3 7 11 15 59 91 51 145 627 1617 3029 3621 
782     13      1958    1 3 7 11 29 9 15 189 495 997 467 343 7615 
783     13      1964    1 1 7 7 17 37 89 31 355 323 1361 3785 643 
784     13      1967    1 1 7 1 27 19 15 5 383 1023 923 3283 2997 
785     13      1970    1 3 7 15 11 41 117 255 407 117 495 99 7687 
786     13      1972    1 1 1 9 9 29 109 103 81 237 1547 3083 2449 
787     13      1994    1 3 5 1 19 57 43 215 251 417 1719 3767 1543 
788     13      2002    1 3 7 11 15 9 1 171 439 637 1709 1483 4111 
789     13      2007    1 3 1 5 25 31 101 101 301 169 803 2119 5035 
790     13      2008    1 1 7 5 21 57 59 149 31 1023 1063 2465 1517 
791     13      2023    1 1 5 5 7 29 101 19 49 187 715 843 1553 
792     13      2030    1 3 3 5 21 43 27 203 125 629 1395 15 7647 
793     13      2035    1 1 3 11 27 49 69 135 447 503 1589 209 791 
794     13      2038    1 3 1 15 17 57 27 55 237 223 949 2119 3221 
795     13      2042    1 3 3 9 3 37 43 49 41 899 1657 2463 1303 
796     13      2047    1 1 7 13 27 27 19 93 139 745 889 951 6925 
797     13      2051    1 3 1 13 15 33 97 217 333 295 683 397 3889 
798     13      2058    1 3 5 15 17 57 47 173 15 77 863 1441 6851 
799     13      2060    1 3 5 7 3 43 21 37 349 1021 725 1985 481 
800     13      2071    1 1 1 13 9 45 85 177 15 915 187 15 6621 
801     13      2084    1 3 5 11 5 29 113 95 461 607 1637 1897 721 
802     13      2087    1 3 1 11 13 23 55 169 29 803 1433 2113 7255 
803     13      2099    1 1 5 3 31 1 45 251 129 267 1489 427 4993 
804     13      2108    1 1 1 9 9 11 19 31 493 195 1545 2681 2187 
805     13      2111    1 3 1 7 3 51 121 149 325 921 241 999 6039 
806     13      2120    1 3 3 15 17 37 41 157 209 587 1351 2353 1197 
807     13      2128    1 1 5 13 13 55 45 3 475 9 11 3175 2185 
808     13      2138    1 3 5 13 31 33 63 149 463 493 1483 1457 6051 
809     13      2143    1 1 1 3 3 11 119 177 207 631 105 263 2533 
810     13      2144    1 1 1 15 23 27 73 77 143 523 1883 3289 1685 
811     13      2153    1 3 1 5 21 31 25 183 71 679 1697 3473 4233 
812     13      2156    1 1 7 15 9 13 103 125 223 83 1255 2755 1447 
813     13      2162    1 3 5 15 15 51 69 101 369 463 1515 3485 1871 
814     13      2167    1 3 5 7 21 31 55 223 477 995 147 387 7917 
815     13      2178    1 3 5 5 7 31 73 243 283 949 705 449 3309 
816     13      2183    1 1 5 9 15 5 25 219 379 1013 1683 703 4855 
817     13      2202    1 1 7 15 25 15 99 217 265 851 149 1557 8107 
818     13      2211    1 3 3 5 1 59 35 119 245 9 765 833 1707 
819     13      2214    1 1 1 13 23 49 25 153 215 365 1943 2975 1301 
820     13      2223    1 3 5 7 15 45 25 215 225 431 1161 2389 1969 
821     13      2225    1 3 5 9 19 31 121 189 331 23 419 3171 6241 
822     13      2232    1 1 5 5 17 39 69 215 307 827 557 3251 3211 
823     13      2237    1 1 3 11 31 27 23 119 463 605 453 1573 1981 
824     13      2257    1 1 5 11 1 15 37 111 481 331 1481 1013 3259 
825     13      2260    1 1 1 11 21 39 25 183 351 553 3 3969 2551 
826     13      2267    1 3 7 1 19 5 3 55 483 373 1529 535 4215 
827     13      2274    1 1 3 1 25 61 89 197 465 493 661 2361 4211 
828     13      2276    1 3 1 9 29 61 59 175 389 973 1763 4077 6211 
829     13      2285    1 3 1 7 11 41 117 75 291 125 273 5 8169 
830     13      2288    1 1 5 11 21 53 121 31 451 631 1901 4059 6801 
831     13      2293    1 3 7 3 13 33 51 247 409 881 935 1927 1559 
832     13      2294    1 1 3 13 15 51 105 209 159 333 325 3699 5461 
833     13      2297    1 3 3 5 17 7 47 57 59 673 611 253 1531 
834     13      2303    1 1 7 1 19 27 15 189 319 649 1593 875 8187 
835     13      2308    1 1 1 3 15 17 81 183 409 433 679 1881 7827 
836     13      2311    1 1 3 9 23 37 83 235 225 599 1979 2871 1353 
837     13      2318    1 1 7 7 27 11 93 115 339 233 1733 2071 3187 
838     13      2323    1 1 1 7 27 47 61 73 361 621 1907 3103 1873 
839     13      2332    1 1 1 9 9 13 67 161 21 953 1101 2255 4841 
840     13      2341    1 3 7 7 29 39 31 73 351 401 441 4085 2829 
841     13      2345    1 1 5 15 9 23 127 111 309 955 623 1995 1961 
842     13      2348    1 3 5 9 3 3 27 91 287 73 1449 1347 8069 
843     13      2354    1 1 5 3 9 49 87 3 59 193 1999 2295 2247 
844     13      2368    1 3 3 3 21 21 97 47 195 65 1281 1411 6503 
845     13      2377    1 1 7 13 1 11 85 195 429 71 1053 3623 2921 
846     13      2380    1 3 1 5 17 15 105 155 291 889 1997 3629 7025 
847     13      2383    1 1 3 7 9 3 79 41 21 819 1665 4021 7057 
848     13      2388    1 1 3 1 1 23 73 5 75 435 889 2577 697 
849     13      2395    1 3 7 1 1 5 77 183 109 159 1463 2689 7799 
850     13      2397    1 1 1 13 29 55 123 247 509 909 247 3053 7301 
851     13      2401    1 1 5 13 7 23 43 177 59 643 1517 1869 3269 
852     13      2411    1 3 1 9 7 43 3 13 387 893 1013 7 7481 
853     13      2413    1 1 1 1 9 35 111 199 77 375 981 3475 2339 
854     13      2419    1 3 5 7 5 13 27 5 113 65 1785 1517 8027 
855     13      2435    1 3 7 5 25 47 15 7 45 441 7 1601 6543 
856     13      2442    1 1 7 3 17 59 71 93 441 763 769 1977 287 
857     13      2455    1 1 7 11 29 23 61 199 469 757 1473 2625 5909 
858     13      2472    1 1 5 11 27 47 41 91 457 1003 217 401 8113 
859     13      2478    1 1 5 7 1 33 43 45 169 485 191 615 5141 
860     13      2490    1 3 1 5 5 53 19 185 189 681 1685 661 6825 
861     13      2507    1 3 3 1 1 7 47 27 275 63 1029 449 4665 
862     13      2509    1 3 3 1 3 31 1 77 275 871 1031 1025 4683 
863     13      2517    1 1 3 3 9 35 39 43 363 129 431 1351 8037 
864     13      2524    1 1 5 3 3 39 29 99 441 819 175 3503 4911 
865     13      2528    1 3 5 13 9 17 87 5 311 307 659 2795 4055 
866     13      2531    1 1 3 13 13 51 69 99 65 257 87 1407 3157 
867     13      2538    1 1 5 9 19 41 97 231 85 743 637 755 6209 
868     13      2545    1 1 5 15 21 63 81 35 477 39 873 3679 6477 
869     13      2546    1 1 7 13 23 37 115 87 171 33 1779 3169 3205 
870     13      2555    1 3 7 11 9 41 111 9 5 441 1677 311 1019 
871     13      2557    1 1 5 15 7 23 7 181 461 357 187 3461 6689 
872     13      2564    1 1 3 11 15 37 101 125 271 205 57 3361 3965 
873     13      2573    1 3 3 9 25 41 97 133 39 383 669 4007 25 
874     13      2579    1 3 7 13 17 13 79 61 145 567 1079 287 467 
875     13      2592    1 1 5 1 7 47 97 131 119 1013 1991 741 27 
876     13      2598    1 3 5 9 23 21 71 209 239 801 133 2891 1141 
