d       s       a       m_i     
137     10      301     1 3 1 11 29 47 97 217 13 897 
138     10      316     1 1 3 13 15 39 85 181 471 853 
139     10      319     1 3 1 11 11 21 5 233 415 897 
140     10      324     1 1 5 7 3 19 103 27 353 775 
141     10      346     1 3 3 1 21 57 123 27 61 719 
142     10      352     1 1 3 13 5 57 87 77 301 633 
143     10      361     1 3 7 5 21 59 19 177 147 357 
144     10      367     1 1 5 1 5 57 43 249 475 189 
145     10      382     1 3 7 9 15 49 29 75 75 839 
146     10      395     1 1 3 7 23 47 17 83 275 917 
147     10      398     1 3 7 1 23 17 35 237 357 363 
148     10      400     1 1 3 1 17 35 85 215 405 469 
149     10      412     1 3 1 9 21 21 103 205 79 431 
150     10      419     1 1 3 1 7 13 127 233 93 215 
151     10      422     1 3 1 11 13 19 87 219 49 133 
152     10      426     1 3 7 3 27 51 125 235 159 981 
153     10      428     1 1 3 7 29 37 3 189 419 329 
154     10      433     1 1 5 13 9 61 125 29 111 751 
155     10      446     1 1 3 5 5 43 59 15 445 803 
156     10      454     1 1 7 15 25 55 37 231 287 97 
157     10      457     1 1 1 1 13 5 97 25 53 579 
158     10      472     1 3 5 13 27 63 17 197 285 741 
159     10      493     1 1 5 3 7 31 13 167 235 965 
160     10      505     1 3 5 7 3 35 97 131 89 313 
161     10      508     1 1 3 13 23 3 91 155 249 829 
162     11      2       1 3 7 13 1 41 51 233 233 163 1357 
163     11      11      1 3 1 3 13 3 55 9 511 441 811 
164     11      21      1 3 5 5 11 57 45 65 397 199 1195 
165     11      22      1 3 5 11 11 15 95 163 319 727 1793 
166     11      35      1 1 5 7 31 47 49 177 229 719 241 
167     11      49      1 3 1 13 9 25 69 67 151 369 1205 
168     11      50      1 1 7 3 9 39 99 109 111 787 181 
169     11      56      1 1 3 11 23 1 49 111 45 293 1603 
170     11      61      1 1 1 3 5 45 11 197 357 109 1291 
171     11      70      1 3 5 11 5 25 91 91 339 559 311 
172     11      74      1 3 3 3 21 37 69 129 205 333 165 
173     11      79      1 1 1 15 9 19 115 153 23 381 1727 
174     11      84      1 1 3 1 3 35 77 217 133 943 169 
175     11      88      1 1 5 9 1 39 67 217 143 529 769 
176     11      103     1 1 3 3 9 9 9 203 425 601 1389 
177     11      104     1 3 7 3 15 19 109 31 417 127 1109 
178     11      112     1 3 1 15 1 37 75 199 419 917 1929 
179     11      115     1 3 3 9 21 37 23 165 67 39 1685 
180     11      117     1 3 3 7 3 25 75 67 451 889 1015 
181     11      122     1 3 1 1 27 37 39 7 411 391 463 
182     11      134     1 1 7 15 25 19 55 131 245 887 971 
183     11      137     1 3 1 9 19 9 9 31 143 647 39 
184     11      146     1 3 7 1 27 7 107 179 327 947 953 
185     11      148     1 3 7 13 23 31 65 29 157 67 2009 
186     11      157     1 3 5 13 19 31 19 249 385 209 281 
187     11      158     1 1 7 15 3 63 1 97 349 1007 1463 
188     11      162     1 3 3 11 25 3 21 195 213 1013 637 
189     11      164     1 3 1 1 27 7 95 215 473 1023 231 
190     11      168     1 3 3 11 15 15 45 55 63 693 845 
191     11      173     1 1 3 1 27 3 63 139 139 729 861 
192     11      185     1 1 5 3 31 37 125 175 311 951 1745 
193     11      186     1 1 1 11 1 19 7 203 301 403 1293 
194     11      191     1 3 1 5 13 39 27 155 27 725 993 
195     11      193     1 3 5 1 5 57 19 225 407 713 1687 
196     11      199     1 1 1 1 29 23 83 191 469 105 311 
197     11      213     1 1 1 11 5 17 111 5 395 183 1167 
198     11      214     1 3 1 9 1 41 3 49 253 735 693 
199     11      220     1 1 5 3 21 11 43 33 225 291 1581 
200     11      227     1 1 1 1 5 29 43 85 465 879 1161 
201     11      236     1 3 1 7 11 43 61 41 287 655 1417 
202     11      242     1 3 1 15 21 13 85 69 353 1005 1109 
203     11      251     1 1 7 1 3 29 115 227 473 877 443 
204     11      256     1 3 3 13 13 57 95 91 473 667 1551 
205     11      259     1 3 3 3 13 5 45 219 371 843 95 
206     11      265     1 3 7 1 17 45 93 63 235 37 1081 
207     11      266     1 3 3 1 17 21 5 91 433 321 645 
208     11      276     1 1 7 11 9 5 33 189 205 51 259 
209     11      292     1 1 7 3 17 9 11 235 477 419 721 
210     11      304     1 1 1 15 21 49 25 103 25 273 1159 
211     11      310     1 1 1 15 29 7 97 47 219 979 961 
212     11      316     1 1 7 13 3 9 103 179 471 841 1265 
213     11      319     1 1 7 15 11 33 57 181 125 307 535 
214     11      322     1 1 7 15 21 27 15 65 235 45 1169 
215     11      328     1 3 1 5 9 59 123 25 391 253 1801 
216     11      334     1 3 1 1 13 17 85 207 417 179 951 
217     11      339     1 1 1 15 27 13 51 169 351 351 1255 
218     11      341     1 3 7 13 21 63 93 27 277 999 1381 
219     11      345     1 1 5 9 21 11 99 199 281 281 373 
220     11      346     1 1 5 1 1 41 17 43 411 315 1953 
221     11      362     1 1 5 11 25 49 7 61 359 989 1165 
222     11      367     1 1 5 1 21 23 77 51 501 579 1969 
223     11      372     1 3 7 3 15 43 89 107 331 723 771 
224     11      375     1 1 3 15 3 57 41 241 183 579 1577 
225     11      376     1 3 7 3 29 31 31 121 87 1009 235 
226     11      381     1 3 3 1 25 11 67 33 275 297 1143 
227     11      385     1 1 7 13 17 29 99 39 111 29 881 
228     11      388     1 1 7 1 7 25 27 107 169 77 1037 
229     11      392     1 3 1 15 17 59 105 87 295 253 1847 
230     11      409     1 1 7 11 25 57 75 129 379 95 381 
231     11      415     1 1 7 11 19 51 69 23 443 89 1245 
232     11      416     1 3 7 15 3 43 71 173 435 125 1039 
233     11      421     1 1 1 13 27 37 101 97 201 187 243 
234     11      428     1 1 3 15 13 37 11 81 233 701 1629 
235     11      431     1 1 3 11 21 43 37 233 129 281 511 
236     11      434     1 3 7 3 17 7 89 19 59 339 337 
237     11      439     1 3 7 13 27 31 97 197 485 367 1169 
238     11      446     1 1 7 13 9 5 93 93 289 79 57 
239     11      451     1 3 5 13 23 61 99 201 115 583 1271 
240     11      453     1 3 3 15 9 55 1 197 149 919 805 
241     11      457     1 1 1 5 29 43 119 55 397 973 1843 
242     11      458     1 3 1 1 5 55 99 223 323 543 1851 
243     11      471     1 1 1 15 1 31 17 107 303 675 1093 
244     11      475     1 1 5 11 9 19 61 123 411 65 317 
245     11      478     1 3 5 5 9 15 35 181 467 289 85 
246     11      484     1 1 1 13 19 59 75 167 507 249 259 
247     11      493     1 3 5 3 13 7 53 87 97 667 1493 
248     11      494     1 1 7 1 17 35 109 21 437 225 155 
249     11      499     1 3 7 11 3 25 51 29 499 987 223 
250     11      502     1 1 7 7 23 57 13 23 335 627 887 
251     11      517     1 1 7 3 15 45 89 217 393 235 969 
252     11      518     1 3 3 7 19 47 1 193 229 45 1617 
253     11      524     1 3 1 9 29 63 15 57 509 147 323 
254     11      527     1 3 5 9 9 33 77 83 109 335 481 
255     11      555     1 1 3 1 7 47 69 3 23 243 1787 
256     11      560     1 3 7 7 7 13 77 211 349 383 1793 
257     11      565     1 1 5 11 9 9 1 173 263 965 993 
258     11      569     1 3 3 1 11 57 85 1 293 921 1711 
259     11      578     1 3 3 13 29 25 13 143 373 575 1985 
260     11      580     1 3 1 13 1 9 71 135 117 989 1331 
261     11      587     1 3 3 13 29 21 47 225 199 107 117 
262     11      589     1 1 7 13 25 5 57 135 397 411 1275 
263     11      590     1 1 3 1 11 19 39 9 165 813 871 
264     11      601     1 3 1 11 29 1 71 35 361 331 773 
265     11      607     1 1 3 9 23 23 73 7 505 183 563 
266     11      611     1 3 5 9 25 35 123 111 221 1 873 
267     11      614     1 1 3 3 15 43 53 71 339 321 1973 
268     11      617     1 1 5 13 13 57 27 151 337 739 1205 
269     11      618     1 3 5 13 23 3 111 101 37 523 659 
270     11      625     1 3 5 13 23 53 53 91 505 779 759 
271     11      628     1 1 5 7 21 43 91 213 163 29 137 
272     11      635     1 1 1 3 21 37 97 241 77 169 1255 
273     11      641     1 3 3 1 5 31 119 127 137 915 1705 
274     11      647     1 3 3 13 5 47 117 171 67 285 225 
275     11      654     1 1 7 9 3 35 25 25 147 537 1703 
276     11      659     1 3 5 3 27 41 57 71 383 763 431 
277     11      662     1 3 3 1 17 9 105 119 243 459 881 
278     11      672     1 3 5 15 13 45 49 41 117 473 1701 
279     11      675     1 1 3 11 13 5 77 17 11 1019 353 
280     11      682     1 3 1 11 31 35 87 195 371 169 1075 
281     11      684     1 3 5 1 1 1 65 177 35 497 103 
282     11      689     1 1 3 1 31 21 77 153 139 663 443 
283     11      695     1 1 1 1 31 25 21 87 345 13 301 
284     11      696     1 1 1 7 7 1 95 5 429 551 1011 
